字號,字,頻次
1556,麋,7
1565,悲,313
1566,錐,202
1567,隹,7
1569,騅,1
1574,誰,197
1577,帷,20
1584,丕,185
1585,㔻,164
1602,鎚,22
1603,椎,149
1604,槌,198
1605,桘,150
1609,胝,10
1610,疷,4
1613,紕,1
1621,巋,1
1624,咦,1
1630,之,289
1632,芝,176
1633,㞢,131
1634,飴,141
1635,𩛛,121
1636,䬮,123
1637,怡,20
1645,貽,19
1648,𦣞,1
1649,𩠢,1
1650,頤,3
1651,詒,2
1654,宧,1
1661,時,367
1662,旹,275
1666,蒔,5
1667,鰣,68
1668,疑,341
1669,嶷,1
1671,思,213
1672,恖,161
1673,司,212
1676,絲,264
1688,其,197
1689,期,196
1690,旗,290
1694,萁,1
1695,𧯯,1
1696,蜝,17
1697,琪,2
1698,麒,19
1700,淇,1
1704,棊,166
1705,櫀,177
1706,碁,172
1709,鯕,7
1710,蘄,7
1711,祺,2
1712,禥,1
1718,詩,321
1724,而,286
1745,欺,305
1755,抾,2
1756,姬,15
1759,基,338
1760,箕,33
1761,萁,9
1766,居,1
1768,詞,230
1769,祠,247
1771,辭,211
1772,辤,156
1773,辝,156
1775,釐,184
1776,貍,140
1777,狸,191
1780,剺,4
1798,淄,4
1801,輜,121
1802,錙,1
1804,緇,2
1805,䊷,1
1807,鯔,1
1812,熙,164
1813,嬉,167
1814,禧,13
1820,熹,9
1821,嘻,10
1825,醫,307
1826,毉,248
1829,噫,2
1831,癡,234
1833,笞,2
1834,痴,238
1835,治,17
1836,持,236
1838,蚩,2
1839,嗤,142
1845,慈,241
1846,礠,201
1847,鶿,8
1849,茲,131
1850,茲,144
1851,孳,6
1853,孜,8
1854,滋,218
1855,嗞,1
1868,微,221
1871,薇,10
1876,揮,260
1877,煇,135
1878,輝,180
1879,暉,20
1880,徽,208
1890,幃,1
1891,韋,17
1892,闈,1
1893,圍,279
1896,違,189
1904,霏,2
1905,䬠,1
1906,妃,181
1907,菲,17
1914,飛,380
1915,扉,2
1916,緋,4
1918,非,211
1923,誹,1
1925,肥,366
1926,腓,1
1928,淝,1
1930,痱,6
1934,賁,8
1935,裴,2
1937,威,257
1938,葳,2
1945,祈,195
1947,旂,1
1949,畿,1
1950,㙨,1
1951,崎,6
1952,碕,1
1953,圻,1
1964,蘄,2
1965,機,308
1966,譏,172
1968,嘰,2
1970,磯,2
1972,饑,168
1974,幾,193
1978,璣,4
1981,希,203
1982,晞,3
1986,稀,232
1987,豨,9
1992,欷,1
1993,依,194
1995,衣,409
2001,沂,102
2003,巍,18
2005,歸,305
2006,㱕,244
2010,魚,433
2011,𩺰,297
2012,漁,161
2013,𩼪,130
2014,䰻,130
2015,䱷,130
2019,衙,1
2020,初,336
2022,書,386
2025,舒,207
2027,紓,1
2029,居,273
2031,据,1
2032,裾,6
2033,琚,2
2036,車,254
2043,渠,250
2047,磲,1
2069,余,323
2073,餘,185
2074,輿,7
2081,歟,1
2082,與,3
2085,舁,31
2086,擧,31
2087,妤,1
