lid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
01004,0.7908522,0.6285571,0.10897039,0.0,1.0,1.0,0.8944272,1.0,0.0,0.9761871,0.0,1.0,0.97014254,0.8911328,0.70710677,0.0,0.0,0.0,0.8944272,0.81409985,1.0,0.5547002,0.0,1.0,0.7058866,1.0,0.26403937,0.0,0.0,1.0,1.0,1.0,0.0,0.95130306,0.9805807,0.0,0.0,0.0,1.0,1.0,0.4472136,0.9284767,0.9883717,0.70710677,0.37139067,0.15205719,0.31622776,1.0,0.0,0.98994946,0.0,0.0,0.70710677,0.31622776,0.0,0.0,0.0,1.0,0.8944272,0.70710677,0.0,0.0,0.0,0.0,0.0,0.0,0.70710677,0.8944272,0.0,0.0,0.40824828,0.16222142,0.16222142,1.0,0.8029551,0.0,0.0,0.0,0.0,0.020516329,0.0,0.70710677,0.04152274,1.0,1.0
01005,0.9947855,0.07124705,0.999769,1.0,1.0,1.0,1.0,1.0,1.0,0.8944272,0.9805807,1.0,0.8682431,0.7893522,0.70710677,0.94868326,1.0,1.0,1.0,0.70710677,1.0,1.0,0.70710677,0.9982744,0.99227786,1.0,0.983282,0.61025715,0.919145,0.5163978,0.0,1.0,0.300015,0.904534,1.0,0.0,0.0,0.0,0.99388367,1.0,0.8944272,1.0,1.0,0.94868326,0.11043152,0.0,0.7071067,0.4472136,0.8944272,0.8944272,0.4472136,1.0,0.94868326,1.0,1.0,1.0,0.31622776,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.70710677,0.0,1.0,1.0,1.0,1.0,0.70710677,0.98994946,0.98994946,1.0,0.98994946,0.4472136,0.8944272,1.0,0.6666667,0.35691532,0.8320503,1.0,0.0,0.98639387,0.8725028
01006,0.7975329,0.59850556,0.0,1.0,1.0,0.94868326,1.0,1.0,1.0,0.6507914,0.97014254,1.0,0.97014254,0.5368755,0.70710677,1.0,0.08304548,0.0,0.57735026,1.0,1.0,1.0,1.0,1.0,0.70710677,1.0,0.80886835,0.0,0.0,0.8944272,1.0,0.31622776,0.0,0.97014254,1.0,0.9965458,1.0,1.0,0.0,0.0,0.0,0.9965458,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.97332853,0.0,0.70710677,0.0,0.0,0.0,0.0,0.0,1.0,0.8944272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4698092,0.14142136,0.97648007,0.0,0.98994946,1.0,0.0,1.0,1.0,0.0,0.0,0.70710677,0.04152274,1.0,1.0
01007,0.82749367,0.56616646,0.87566745,0.0,1.0,0.94868326,0.4472136,0.97014254,0.0,0.9761871,0.0,1.0,0.97014254,0.8911328,0.70710677,0.0,0.0,0.0,0.4472136,0.50961965,0.97014254,0.5547002,0.0,1.0,1.0,1.0,0.26297584,0.0,0.4472136,1.0,0.8944272,1.0,0.0,0.99589324,0.99589324,0.0,0.14815944,0.0,1.0,1.0,0.4472136,0.9284767,0.9987727,0.70710677,0.37139067,0.15205719,0.31622776,1.0,0.0,1.0,0.0,0.0,0.0,0.31622776,0.0,0.0,0.0,1.0,0.8944272,0.40824828,0.0,0.0,0.0,0.0,0.0,0.0,0.70710677,0.8944272,0.0,0.0,0.40824828,0.16222142,0.16222142,1.0,0.8029551,0.052522574,0.029748203,0.0,0.16317849,0.09873534,0.0,0.0,0.062378287,1.0,1.0
01008,0.15764874,0.9639268,0.216921,1.0,1.0,0.94868326,1.0,1.0,1.0,0.6507914,0.97014254,1.0,0.97014254,0.857493,0.70710677,1.0,0.08304548,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.04152274,1.0,0.755043,0.0,0.0,1.0,1.0,0.31622776,0.0,1.0,1.0,1.0,0.9929456,0.97439116,0.0,0.11043152,0.0,1.0,0.99905616,0.84799826,0.0,0.0,0.0,0.14002801,0.0,0.0,0.0,1.0,0.0,0.31622776,0.0,0.0,0.0,1.0,0.8944272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8944272,0.0,0.0,0.5,0.16222142,0.16222142,1.0,0.8029551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97014254
01009,0.60970336,0.7399401,0.20543638,1.0,1.0,1.0,1.0,0.8090398,1.0,1.0,0.0,1.0,1.0,0.94868326,0.70710677,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8333333,0.0,0.0,0.99999994,0.6324555,0.0,0.0,1.0,1.0,0.0,0.043437224,0.0,1.0,1.0,0.8944272,0.9284767,0.78047,0.53215206,0.37139067,0.6585046,0.4472136,0.4472136,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7071068,0.8944272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70710677,1.0,0.0,0.0,0.44543537,0.0,0.069006555,0.75851333,0.8944272,0.0,0.0,1.0,0.97014254,0.0,0.0,1.0,0.0,0.9788886,1.0
01010,0.8857337,0.5275053,0.2367069,0.0,1.0,1.0,1.0,0.86772186,0.0,1.0,0.0,1.0,0.97014254,0.9970545,0.70710677,0.0,0.28734788,0.0,0.4472136,0.31878835,0.5547002,0.8320503,0.0,0.9861736,0.0,1.0,0.44986767,0.0,0.57635397,1.0,0.7071067,1.0,0.24253564,0.97014254,1.0,0.0,0.043437224,0.0,1.0,1.0,0.8944272,0.16439898,0.11450664,0.0,0.98639387,0.99745876,0.8944272,1.0,0.0,1.0,0.0,0.70710677,0.0,0.0,1.0,0.0,0.0,0.9805807,1.0,0.0,0.0,0.42426404,0.904534,0.70710677,1.0,0.0,0.70710677,1.0,1.0,0.0,0.26261285,0.3365293,0.5360563,0.9741527,0.9622505,0.062257282,0.06651901,0.24253564,0.24253564,0.0,0.0,1.0,0.0,1.0,1.0
01012,0.8154201,0.57601845,0.999769,1.0,1.0,0.94868326,1.0,0.97014254,1.0,0.43386093,0.33333334,1.0,0.8944272,0.52704626,0.70710677,0.0,0.0,0.70710677,0.0,1.0,1.0,1.0,1.0,0.9950372,0.7058866,1.0,0.80886835,0.0,0.4472136,0.8944272,0.8944272,0.70710677,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.98019606,0.0,0.97332853,0.0,0.70710677,0.0,0.0,0.0,0.31622776,0.0,1.0,0.8944272,1.0,0.0,0.0,0.30151135,0.0,0.0,0.0,0.0,0.8944272,0.0,0.0,0.70710677,0.14142136,0.14142136,1.0,0.98994946,0.9982744,0.0,1.0,1.0,0.0,0.0,0.70710677,0.044022545,1.0,1.0
01013,0.77637213,0.62985206,0.99952906,0.0,1.0,1.0,0.4472136,1.0,0.0,1.0,0.0,1.0,1.0,0.94868326,0.70710677,0.0,0.052558832,0.0,0.0,0.77784055,0.97014254,0.30151135,1.0,1.0,0.0,1.0,0.10975609,0.0,0.0,1.0,1.0,1.0,0.0,0.97014254,1.0,0.0,0.043437224,0.0,1.0,1.0,0.4472136,0.9284767,0.99404377,0.70710677,0.37139067,0.15205719,0.31622776,1.0,0.0,1.0,0.0,0.0,0.31622776,0.31622776,0.0,0.0,0.0,1.0,0.8944272,0.70710677,0.0,0.0,0.0,0.0,0.0,0.0,0.70710677,0.8944272,0.0,0.0,0.0,0.16222142,0.16222142,1.0,0.8029551,0.0,0.0,0.0,0.30151135,0.0,0.0,1.0,0.0,1.0,1.0
01015,0.7262838,0.6839411,0.009522946,0.0,1.0,1.0,0.4472136,0.97014254,0.0,0.9761871,0.0,1.0,0.97014254,0.6859944,0.70710677,0.0,0.0,0.0,0.0,0.624758,0.97014254,0.8320503,0.0,1.0,0.0,1.0,0.27182597,0.0,0.0,1.0,1.0,1.0,0.24253564,0.96679145,0.9965458,0.0,0.0,0.0,1.0,1.0,0.4472136,0.9284767,0.97439116,0.70710677,0.37139067,0.2248595,0.31622776,1.0,0.0,1.0,0.0,0.0,0.24253564,0.31622776,0.0,0.0,0.0,1.0,0.8944272,0.70710677,0.0,0.0,0.0,0.0,0.0,0.0,0.70710677,0.8944272,0.0,0.0,0.70710677,0.16222142,0.16222142,1.0,0.8029551,0.0,0.0,0.0,0.0,0.008970505,0.4472136,0.70710677,0.04152274,1.0,1.0
