# 官話
id,北京_聲母,北京_韻母,北京_調值,北京_調類,濟南_聲母,濟南_韻母,濟南_調值,濟南_調類,西安_聲母,西安_韻母,西安_調值,西安_調類,武昌_聲母,武昌_韻母,武昌_調值,武昌_調類,桂林(臨桂)_聲母,桂林(臨桂)_韻母,桂林(臨桂)_調值,桂林(臨桂)_調類,柳州(雒容)_聲母,柳州(雒容)_韻母,柳州(雒容)_調值,柳州(雒容)_調類,合肥_聲母,合肥_韻母,合肥_調值,合肥_調類,廣靈_聲母,廣靈_韻母,廣靈_調值,廣靈_調類,霍州(霍縣)_聲母,霍州(霍縣)_韻母,霍州(霍縣)_調值,霍州(霍縣)_調類,臨汾_聲母,臨汾_韻母,臨汾_調值,臨汾_調類,聞喜_聲母,聞喜_韻母,聞喜_調值,聞喜_調類,新絳_聲母,新絳_韻母,新絳_調值,新絳_調類,吉縣_聲母,吉縣_韻母,吉縣_調值,吉縣_調類,運城_聲母,運城_韻母,運城_調值,運城_調類,永濟_聲母,永濟_韻母,永濟_調值,永濟_調類,萬榮_聲母,萬榮_韻母,萬榮_調值,萬榮_調類,宿州市_聲母,宿州市_韻母,宿州市_調值,宿州市_調類,渦陽_聲母,渦陽_韻母,渦陽_調值,渦陽_調類,臨泉_聲母,臨泉_韻母,臨泉_調值,臨泉_調類,穎上_聲母,穎上_韻母,穎上_調值,穎上_調類,蕭縣_聲母,蕭縣_韻母,蕭縣_調值,蕭縣_調類,蚌埠市_聲母,蚌埠市_韻母,蚌埠市_調值,蚌埠市_調類,鳳陽_聲母,鳳陽_韻母,鳳陽_調值,鳳陽_調類,壽縣_聲母,壽縣_韻母,壽縣_調值,壽縣_調類,懷遠_聲母,懷遠_韻母,懷遠_調值,懷遠_調類,淮南_聲母,淮南_韻母,淮南_調值,淮南_調類,滁縣(滁州)_聲母,滁縣(滁州)_韻母,滁縣(滁州)_調值,滁縣(滁州)_調類,巢縣(巢湖)_聲母,巢縣(巢湖)_韻母,巢縣(巢湖)_調值,巢縣(巢湖)_調類,蕪湖_聲母,蕪湖_韻母,蕪湖_調值,蕪湖_調類,桐城(安徽省志)_聲母,桐城(安徽省志)_韻母,桐城(安徽省志)_調值,桐城(安徽省志)_調類,宣城_聲母,宣城_韻母,宣城_調值,宣城_調類,貴池_聲母,貴池_韻母,貴池_調值,貴池_調類,安慶_聲母,安慶_韻母,安慶_調值,安慶_調類,天長_聲母,天長_韻母,天長_調值,天長_調類,定遠_聲母,定遠_韻母,定遠_調值,定遠_調類,滁州_聲母,滁州_韻母,滁州_調值,滁州_調類,全椒_聲母,全椒_韻母,全椒_調值,全椒_調類,六安_聲母,六安_韻母,六安_調值,六安_調類,含山_聲母,含山_韻母,含山_調值,含山_調類,當塗_聲母,當塗_韻母,當塗_調值,當塗_調類,舒城_聲母,舒城_韻母,舒城_調值,舒城_調類,無為_聲母,無為_韻母,無為_調值,無為_調類,桐城_聲母,桐城_韻母,桐城_調值,桐城_調類,樅陽_聲母,樅陽_韻母,樅陽_調值,樅陽_調類,青陽_聲母,青陽_韻母,青陽_調值,青陽_調類
63,tʂ,uŋ,55,陰平,tʂ,uŋ,213,陰平,pf,əŋ,21,陰平,ts,oŋ,55,陰平,ts,uŋ,33,陰平,ts,uŋ,33,陰平,tʂ,əŋ,212,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,tʂ,uŋ,55,陰平,tʂ,uŋ,213,陰平,pf,əŋ,21,陰平,ts,oŋ,55,陰平,,,,,,,,,tʂ,əŋ,212,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,tʂ,uŋ,55,陰平,tʂ,uŋ,213,陰平,pf,əŋ,21,陰平,ts,oŋ,55,陰平,ts,uŋ,33,陰平,ts,uŋ,33,陰平,tʂ,əŋ,212,陰平,ts,uŋ,53,陰平,ts,uəŋ,213,陰平,tʂ,uəŋ,21,陰平,pf/ts,ɯŋ/uŋ,31/31,陰平/陰平,pf,əŋ,53,陰平,pf,əŋ,423,陰平,pf,əŋ,31,陰平,pf,əŋ,21,陰平,pf,ʌŋ,51,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,tʂʰ,uŋ,35,陽平,tʂʰ,uŋ,42,陽平,pfʰ,əŋ,24,陽平,tsʰ,oŋ,213,陽平,tsʰ,uŋ,31,陽平,tsʰ,uŋ,21,陽平,tʂʰ,əŋ,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʂʰ,oŋ,55,陽平,tʂʰ,oŋ,55,陽平,tʂʰ,oŋ,55,陽平,tsʰ,oŋ,55,陽平,tʂʰ,oŋ,55,陽平,tsʰ,õŋ,55,陽平,tʂʰ,õŋ,55,陽平,tsʰ,oŋ,55,陽平,tsʰ,uŋ,55,陽平,tsʰ,uŋ,45,陽平,tʂʰ,uŋ,35,陽平,tʂʰ,ʌŋ,35,陽平,tsʰ,oŋ,35,陽平,tʂʰ,ʯən,24,陽平,tʂʰ,oŋ,35,陽平,tsʰ,oŋ,24,陽平,tʂʰ,oŋ,35,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,tʂ,uŋ,55,陰平,tʂ,uŋ,213,陰平,pf,əŋ,21,陰平,ts,oŋ,55,陰平,ts,uŋ,33,陰平,ts,uŋ,33,陰平,tʂ,əŋ,212,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,tʂ,uŋ,51,去,tʂ,uŋ,21,去,pf,əŋ,55,去,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,tʂ,uŋ,55,陰平,tʂ,uŋ,213,陰平,pf,əŋ,21,陰平,ts,oŋ,55,陰平,,,,,,,,,tʂ,əŋ,212,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,tʂʰ,uŋ,35,陽平,tʂʰ,uŋ,42,陽平,pfʰ,əŋ,24,陽平,tsʰ,oŋ,213,陽平,tsʰ,uŋ,31,陽平,tsʰ,uŋ,21,陽平,tsʰ,əŋ,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,tsʰ,uŋ,31,陽平,tsʰ,uŋ,21,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,s,uŋ,33,陰平,s,uŋ,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,s,uŋ,33,陰平,s,uŋ,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,ʐ,uŋ,35,陽平/上,l,uŋ,42,陽平,v,əŋ,24,陽平,0,ioŋ,213/55,陽平/陰平,0,iuŋ,31,陽平,0,iuŋ,21,陽平,0,iŋ,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,0,iuŋ,31,陽平,0,iuŋ,21,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,0,iuŋ,31,陽平,0,iuŋ,21,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ʐ,oŋ,55,陽平,ʐ,oŋ,55,陽平,ʐ,oŋ,55,陽平,z,oŋ,55,陽平,ʐ,oŋ,55,陽平,z,õŋ,55,陽平,ʐ,õŋ,55,陽平,z,oŋ,55,陽平,z,uŋ,55,陽平,z,uŋ,45,陽平,ʐ,uŋ,35,陽平,ʐ,ʌŋ,35,陽平,ʐ,oŋ,35,陽平,ʐ,ʯən,24,陽平,0,ioŋ,35,陽平,0,ioŋ,24,陽平,0,ioŋ,35,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,ʐ,uŋ,35,陽平,l,uŋ,42,陽平,v,əŋ,24,陽平,0,ioŋ,213,陽平,0,iuŋ,31,陽平,0,iuŋ,21,陽平,0,iŋ,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ʐ,oŋ,55,陽平,ʐ,oŋ,55,陽平,ʐ,oŋ,55,陽平,z,oŋ,55,陽平,ʐ,oŋ,55,陽平,z,õŋ,55,陽平,ʐ,õŋ,55,陽平,z,oŋ,55,陽平,z,uŋ,55,陽平,z,uŋ,45,陽平,ʐ,uŋ,35,陽平,ʐ,ʌŋ,35,陽平,ʐ,oŋ,35,陽平,ʐ,ʯən,24,陽平,0,ioŋ,35,陽平,0,ioŋ,24,陽平,0,ioŋ,35,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,k,uŋ,55,陰平,k,uŋ,213,陰平,k,uoŋ,21,陰平,k,oŋ,55,陰平,k,uŋ,33,陰平,k,uŋ,33,陰平,k,əŋ,212,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,oŋ,213,陰平,k,oŋ,212,陰平,k,oŋ,212,陰平,k,oŋ,212,陰平,k,oŋ,212,陰平,k,õŋ,212,陰平,k,õŋ,212,陰平,k,oŋ,212,陰平,k,uŋ,212,陰平,k,uŋ,213,陰平,k,uŋ,21,陰平,k,ʌŋ,21,陰平,k,oŋ,31,陰平,k,uən,31,陰平,k,oŋ,31,陰平,k,oŋ,44,陰平,k,oŋ,31,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,k,uŋ,33,陰平,k,uŋ,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,k,uŋ,55,陰平,k,uŋ,213,陰平,k,uoŋ,21,陰平,k,oŋ,55,陰平,k,uŋ,33,陰平,k,uŋ,33,陰平,k,əŋ,212,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,k,uŋ,55,陰平,k,uŋ,213,陰平,k,uoŋ,21,陰平,k,oŋ,55,陰平,k,uŋ,33,陰平,k,uŋ,33,陰平,k,əŋ,212,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,ʐ,uŋ,35,陽平,l,uŋ,42,陽平,0,yoŋ,24,陽平,0,ioŋ,213,陽平,0,iuŋ,31,陽平,0,iuŋ,21,陽平,0,iŋ,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,0,iuŋ,31,陽平,0,iuŋ,21,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,ɕ,iuŋ,35,陽平,ɕ,iuŋ,213/42,陰平/陽平,ɕ,yoŋ,24,陽平,ɕ,ioŋ,213,陽平,s,iuŋ,31,陽平,s,iuŋ,21,陽平,ɕ,iŋ,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɕ,ioŋ,55,陽平,ɕ,ioŋ,55,陽平,ɕ,ioŋ,55,陽平,ɕ,ioŋ,55,陽平,ɕ,ioŋ,55,陽平,ɕ,iõŋ,55,陽平,ɕ,iõŋ,55,陽平,ɕ,ioŋ,55,陽平,ɕ,yŋ,55,陽平,ɕ,yŋ,45,陽平,ɕ,yŋ,35,陽平,ɕ,iʌŋ,35,陽平,ɕ,ioŋ,35,陽平,ʂ,ʯən,24,陽平,ɕ,ioŋ,35,陽平,ɕ,ioŋ,24,陽平,ɕ,ioŋ,35,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,ɕ,iuŋ,35,陽平,ɕ,iuŋ,42,陽平,ɕ,yoŋ,24,陽平,ɕ,ioŋ,55,陰平,s,iuŋ,31,陽平,s,iuŋ,21,陽平,ɕ,iŋ,212,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,tɕʰ,iuŋ,35,陽平,tɕʰ,iuŋ,42,陽平,tɕʰ,yoŋ,24,陽平,tɕʰ,ioŋ,213,陽平,tsʰ,iuŋ,31,陽平,kʰ,iuŋ,21,陽平,tɕʰ,iŋ,55,陽平,tɕʰ,yŋ,31,陽平,tɕʰ,yŋ,35,陽平,tɕʰ,yŋ,13,陽平,tɕʰ,yŋ,213,陽平,tɕʰ,yəŋ,325,陽平,tɕʰ,yəŋ,13,陽平,tɕʰ,yŋ,13,陽平,tɕʰ,yŋ,24,陽平,tɕʰ,yʌŋ,24,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,f,əŋ,35,陽平,f,əŋ,42,陽平,f,əŋ,24,陽平,f,oŋ,213,陽平,f,uŋ,31,陽平,f,uŋ,21,陽平,f,əŋ,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,f,əŋ,55,陰平,f,əŋ,213,陰平,f,əŋ,21,陰平,f,oŋ,55,陰平,f,uŋ,33,陰平,f,uŋ,33,陰平,f,əŋ,212,陰平,f,əŋ,53,陰平,f,əŋ,213,陰平,f/f,ən/əŋ,21/21,陰平/陰平,f,ɯŋ,31,陰平,f,əŋ,53,陰平,f/f,ei/əŋ,423/423,陰平/陰平,f,əŋ,31,陰平,f,əŋ,21,陰平,f,ʌŋ,51,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,f,uŋ,33,陰平,f,uŋ,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,f,əŋ,55,陰平,f,əŋ,213,陰平,f,əŋ,21,陰平,f,oŋ,55,陰平,f,uŋ,33,陰平,f,uŋ,33,陰平,f,əŋ,212,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,f,əŋ,55,陰平,f,əŋ,213,陰平,f,əŋ,21,陰平,f,oŋ,55,陰平,f,uŋ,33,陰平,f,uŋ,33,陰平,f,əŋ,212,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,əŋ,213,陰平,f,ɤŋ,212,陰平,f,ɤŋ,212,陰平,f,ɤŋ,212,陰平,f,əŋ,212,陰平,f,õŋ,212,陰平,f,ə̃,212,陰平,x,oŋ,212,陰平,f,ə̃,212,陰平,x,uŋ,213,陰平,f,əŋ,21,陰平,f,ʌŋ,21,陰平,f,oŋ,31,陰平,f,ən,31,陰平,f,oŋ,31,陰平,f,oŋ,44,陰平,f,oŋ,31,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
