id,字形,方言點,聲母,韻母,調值,調類,備註
425,,績溪(安徽省志),s,ɑ̃,31,陰平,鬆緊。
425,,黃山(湯口)(安徽省志),ɬ,əŋ,55,陰平,鬆緊。
425,,黟縣(安徽省志),s,ɑŋ,21,陰平,鬆緊。
425,,祁門(安徽省志),s,ɐŋ,11,陰平,鬆緊。
425,,屯溪(安徽省志),s,an,33,陰平,鬆緊。
428,鐘,旌德(安徽省志),ts,əŋ,35,陰平,
428,鐘,績溪(安徽省志),ts,ɑ̃,31,陰平,
428,鐘,黃山(湯口)(安徽省志),tɬ,əŋ,55,陰平,
428,鐘,黟縣(安徽省志),tʃ,ɑŋ,21,陰平,
428,鐘,祁門(安徽省志),tʂ,ɐŋ,11,陰平,
428,鐘,屯溪(安徽省志),ts,an,33,陰平,
445,龍,旌德(安徽省志),l,əŋ,42,陽平,
445,龍,績溪(安徽省志),l,ɑ̃,44,陽平,
445,龍,黃山(湯口)(安徽省志),l,əŋ,44,陽平,
445,龍,黟縣(安徽省志),l,ɑŋ,44,陽平,
445,龍,祁門(安徽省志),n,ɐŋ,55,陽平,
445,龍,屯溪(安徽省志),l,in,42,陰去,
460,松,旌德(安徽省志),tsʰ,əŋ,42,陽平,松樹。
460,松,績溪(安徽省志),tsʰ,ɑ̃,44,陽平,松樹。
460,松,黃山(湯口)(安徽省志),tɬʰ,əŋ,44,陽平,松樹。
460,松,黟縣(安徽省志),tʃʰ,ɑŋ,44,陽平,松樹。
460,松,祁門(安徽省志),tsʰ,ɐŋ,55,陽平,松樹。
460,松,屯溪(安徽省志),tsʰ,an,42,陰去,松樹。
461,,旌德(安徽省志),tsʰ,əŋ,42,陽平,松樹。
461,,績溪(安徽省志),tsʰ,ɑ̃,44,陽平,松樹。
461,,黃山(湯口)(安徽省志),tɬʰ,əŋ,44,陽平,松樹。
461,,黟縣(安徽省志),tʃʰ,ɑŋ,44,陽平,松樹。
461,,祁門(安徽省志),tsʰ,ɐŋ,55,陽平,松樹。
461,,屯溪(安徽省志),tsʰ,an,42,陰去,松樹。
547,濃,旌德(安徽省志),l,əŋ,42,陽平,
547,濃,績溪(安徽省志),l,ɑ̃,44,陽平,
547,濃,黃山(湯口)(安徽省志),n,əŋ,44,陽平,
547,濃,黟縣(安徽省志),n,ɑŋ,44,陽平,
547,濃,祁門(安徽省志),n,ɐŋ,55,陽平,
547,濃,屯溪(安徽省志),l,in,42,陰去,
584,,旌德(安徽省志),f,əŋ,35,陰平,
584,,績溪(安徽省志),f,ɑ̃,31,陰平,
584,,黃山(湯口)(安徽省志),f,əŋ,55,陰平,
584,,黟縣(安徽省志),f,ɑŋ,21,陰平,
584,,祁門(安徽省志),f,ɐŋ,11,陰平,
584,,屯溪(安徽省志),f,an,33,陰平,
585,蜂,旌德(安徽省志),f,əŋ,35,陰平,
585,蜂,績溪(安徽省志),f,ɑ̃,31,陰平,
585,蜂,黃山(湯口)(安徽省志),f,əŋ,55,陰平,
585,蜂,黟縣(安徽省志),f,ɑŋ,21,陰平,
585,蜂,祁門(安徽省志),f,ɐŋ,11,陰平,
585,蜂,屯溪(安徽省志),f,an,33,陰平,
586,,旌德(安徽省志),f,əŋ,35,陰平,
586,,績溪(安徽省志),f,ɑ̃,31,陰平,
586,,黃山(湯口)(安徽省志),f,əŋ,55,陰平,
586,,黟縣(安徽省志),f,ɑŋ,21,陰平,
586,,祁門(安徽省志),f,ɐŋ,11,陰平,
586,,屯溪(安徽省志),f,an,33,陰平,
633,恭,旌德(安徽省志),k,uəŋ,35,陰平,
633,恭,績溪(安徽省志),k,uɑ̃,31,陰平,
633,恭,黃山(湯口)(安徽省志),k,əŋ,55,陰平,
633,恭,黟縣(安徽省志),tʃ,ɑŋ,21,陰平,
633,恭,祁門(安徽省志),tɕ,iɐŋ,11,陰平,
633,恭,屯溪(安徽省志),k/tɕ,an/in,33,陰平陰平,
698,,旌德(安徽省志),tsʰ,o,35,陰平,
698,,績溪(安徽省志),tsʰ,õ,31,陰平,
698,,黃山(湯口)(安徽省志),tɬʰ,ɔ,55,陰平,
698,,黟縣(安徽省志),tʃʰ,ɔŋ,21,陰平,
698,,祁門(安徽省志),tʂʰ,ũɐ̆,11,陰平,
698,,屯溪(安徽省志),tsʰ,au,33,陰平,
699,,旌德(安徽省志),tsʰ,o,35,陰平,
699,,績溪(安徽省志),tsʰ,õ,31,陰平,
699,,黃山(湯口)(安徽省志),tɬʰ,ɔ,55,陰平,
699,,黟縣(安徽省志),tʃʰ,ɔŋ,21,陰平,
699,,祁門(安徽省志),tʂʰ,ũɐ̆,11,陰平,
699,,屯溪(安徽省志),tsʰ,au,33,陰平,
700,,旌德(安徽省志),tsʰ,o,35,陰平,
700,,績溪(安徽省志),tsʰ,õ,31,陰平,
700,,黃山(湯口)(安徽省志),tɬʰ,ɔ,55,陰平,
700,,黟縣(安徽省志),tʃʰ,ɔŋ,21,陰平,
700,,祁門(安徽省志),tʂʰ,ũɐ̆,11,陰平,
700,,屯溪(安徽省志),tsʰ,au,33,陰平,
706,邦,旌德(安徽省志),p,o,35,陰平,
706,邦,績溪(安徽省志),p,õ,31,陰平,
706,邦,黃山(湯口)(安徽省志),p,ɔ,55,陰平,
706,邦,黟縣(安徽省志),p,ɔŋ,21,陰平,
706,邦,祁門(安徽省志),p,ũɐ̆,11,陰平,
706,邦,屯溪(安徽省志),p,au,33,陰平,
707,,旌德(安徽省志),p,o,35,陰平,
707,,績溪(安徽省志),p,õ,31,陰平,
707,,黃山(湯口)(安徽省志),p,ɔ,55,陰平,
707,,黟縣(安徽省志),p,ɔŋ,21,陰平,
707,,祁門(安徽省志),p,ũɐ̆,11,陰平,
707,,屯溪(安徽省志),p,au,33,陰平,
725,雙,旌德(安徽省志),s,o,35,陰平,
725,雙,績溪(安徽省志),s,õ,31,陰平,
725,雙,黃山(湯口)(安徽省志),ɬ,ɔ,55,陰平,
725,雙,黟縣(安徽省志),ʃ,ɔŋ,21,陰平,
725,雙,祁門(安徽省志),ʂ,ũɐ̆,11,陰平,
725,雙,屯溪(安徽省志),s,au,33,陰平,
772,支,旌德(安徽省志),ts,ɿ,35,陰平,
772,支,績溪(安徽省志),ts,ɿ,31,陰平,
772,支,黃山(湯口)(安徽省志),tɕ,i,55,陰平,
772,支,黟縣(安徽省志),ts,ɿ,21,陰平,
772,支,祁門(安徽省志),tʂ,i,11,陰平,
772,支,屯溪(安徽省志),tɕ,i,33,陰平,
891,吹,旌德(安徽省志),tsʰ,uɪ,35,陰平,
891,吹,績溪(安徽省志),tɕʰ,y,31,陰平,
891,吹,黃山(湯口)(安徽省志),tɕʰ,y,55,陰平,
891,吹,黟縣(安徽省志),tsʰ,u,21,陰平,
891,吹,祁門(安徽省志),tɕʰ,y,11,陰平,
891,吹,屯溪(安徽省志),tɕʰ,y,33,陰平,
908,碑,旌德(安徽省志),p,i,35,陰平,
908,碑,績溪(安徽省志),p,ɪi,31,陰平,
908,碑,黃山(湯口)(安徽省志),p,ɐ,55,陰平,
908,碑,黟縣(安徽省志),p,ɛi,21,陰平,
908,碑,祁門(安徽省志),p,i,11,陰平,
908,碑,屯溪(安徽省志),p,e,33,陰平,
925,騎,旌德(安徽省志),tsʰ,ɿ,42,陽平,
925,騎,績溪(安徽省志),tsʰ,ɿ,44,陽平,
925,騎,黃山(湯口)(安徽省志),tɕʰ,i,44,陽平,
925,騎,黟縣(安徽省志),tʃʰ,ɛi,44,陽平,
925,騎,祁門(安徽省志),tɕʰ,i,55,陽平,
925,騎,屯溪(安徽省志),tɕʰ,i,42,陰去,
959,犧,旌德(安徽省志),s,ɿ,35,陰平,
959,犧,績溪(安徽省志),ɕ,ɿ,31,陰平,
959,犧,黃山(湯口)(安徽省志),x,i,55,陰平,
959,犧,黟縣(安徽省志),ʃ,ɛi,21,陰平,
959,犧,祁門(安徽省志),ɕ,i,11,陰平,
959,犧,屯溪(安徽省志),ɕ,i,33,陰平,
999,皮,旌德(安徽省志),pʰ,ɿ,42,陽平,
999,皮,績溪(安徽省志),pʰ,ɿ,44,陽平,
999,皮,黃山(湯口)(安徽省志),pʰ,i,44,陽平,
999,皮,黟縣(安徽省志),pʰ,ɛi,44,陽平,
999,皮,祁門(安徽省志),pʰ,i,55,陽平,
999,皮,屯溪(安徽省志),pʰ,i,42,陰去,
1018,兒,旌德(安徽省志),0,e,42,陽平,
1018,兒,績溪(安徽省志),0,ɛ̃,44,陽平,
1018,兒,黃山(湯口)(安徽省志),0,ɚ,44,陽平,
1018,兒,黟縣(安徽省志),0,əɐ̆,44,陽平,
1018,兒,祁門(安徽省志),0,ɚ,55,陽平,
1018,兒,屯溪(安徽省志),0,ɚ,42,陰去,
1019,,旌德(安徽省志),0,e,42,陽平,
1019,,績溪(安徽省志),0,ɛ̃,44,陽平,
1019,,黃山(湯口)(安徽省志),0,ɚ,44,陽平,
1019,,黟縣(安徽省志),0,əɐ̆,44,陽平,
1019,,祁門(安徽省志),0,ɚ,55,陽平,
1019,,屯溪(安徽省志),0,ɚ,42,陰去,
1193,知,旌德(安徽省志),ts,ɿ,35,陰平,
1193,知,績溪(安徽省志),ts,ɿ,31,陰平,
1193,知,黃山(湯口)(安徽省志),tɕ,i,55,陰平,
1193,知,黟縣(安徽省志),ts,ɿ,21,陰平,
1193,知,祁門(安徽省志),tʂ,i,11,陰平,
1193,知,屯溪(安徽省志),tɕ,i,33,陰平,
1225,危,旌德(安徽省志),v,ɪ,42,陽平,
1225,危,績溪(安徽省志),v,ei,44,陽平,
1225,危,黃山(湯口)(安徽省志),v,ɐ,44,陽平,
1225,危,黟縣(安徽省志),ȵ,yɛi,44,陽平,
1225,危,祁門(安徽省志),0,uei,55,陽平,
1225,危,屯溪(安徽省志),v,e,42,陰去,
1288,姨,旌德(安徽省志),0,i,42,陽平,
1288,姨,績溪(安徽省志),0,ɿ,44,陽平,
1288,姨,黃山(湯口)(安徽省志),0,i,44,陽平,
1288,姨,黟縣(安徽省志),0,iɛi,44,陽平,
1288,姨,祁門(安徽省志),0,i,55,陽平,
1288,姨,屯溪(安徽省志),0,i,42,陰去,
1314,師,旌德(安徽省志),s,ɿ,35,陰平,
1314,師,績溪(安徽省志),s,ɿ,31,陰平,
1314,師,黃山(湯口)(安徽省志),ɬ,l̩,55,陰平,
1314,師,黟縣(安徽省志),s,ɿ,21,陰平,
1314,師,祁門(安徽省志),s,ɿ,11,陰平,
1314,師,屯溪(安徽省志),s,ɿ,33,陰平,
1317,篩,旌德(安徽省志),ɕ,a,35,陰平,篩子。
1317,篩,績溪(安徽省志),ɕ,iɔ,31,陰平,篩子。
1317,篩,黃山(湯口)(安徽省志),ɬ,ɑ,55,陰平,篩子。
1317,篩,黟縣(安徽省志),ʃ,ɑ,21,陰平,
1317,篩,祁門(安徽省志),ɕ,ia,11,陰平,篩子。
1317,篩,屯溪(安徽省志),s,a,33,陰平,篩子。
1344,資,旌德(安徽省志),ts,ɿ,35,陰平,
1344,資,績溪(安徽省志),ts,ɿ,31,陰平,
1344,資,黃山(湯口)(安徽省志),tɬ,l̩,55,陰平,
1344,資,黟縣(安徽省志),ts,ɿ,21,陰平,
1344,資,祁門(安徽省志),tʂ,i,11,陰平,
1344,資,屯溪(安徽省志),tɕ,i,33,陰平,
1358,飢,旌德(安徽省志),ts,ɿ,35,陰平,
1358,飢,績溪(安徽省志),ts,ɿ,31,陰平,
1358,飢,黃山(湯口)(安徽省志),tɕ,i,55,陰平,
1358,飢,黟縣(安徽省志),tʃ,ɛi,21,陰平,
1358,飢,祁門(安徽省志),tɕ,i,11,陰平,
1358,飢,屯溪(安徽省志),tɕ,i,33,陰平,
1410,遲,旌德(安徽省志),tsʰ,ɿ,42,陽平,
1410,遲,績溪(安徽省志),tsʰ,ɿ,44,陽平,
1410,遲,黃山(湯口)(安徽省志),tɕʰ,i,44,陽平,
1410,遲,黟縣(安徽省志),tsʰ,ɿ,44,陽平,
1410,遲,祁門(安徽省志),tʂʰ,i,55,陽平,
1410,遲,屯溪(安徽省志),tɕʰ,i,42,陰去,
1411,,旌德(安徽省志),tsʰ,ɿ,42,陽平,
1411,,績溪(安徽省志),tsʰ,ɿ,44,陽平,
1411,,黃山(湯口)(安徽省志),tɕʰ,i,44,陽平,
1411,,黟縣(安徽省志),tsʰ,ɿ,44,陽平,
1411,,祁門(安徽省志),tʂʰ,i,55,陽平,
1411,,屯溪(安徽省志),tɕʰ,i,42,陰去,
1460,葵,旌德(安徽省志),kʰ,uɪ,42,陽平,
1460,葵,績溪(安徽省志),kʰ,uei,44,陽平,
1460,葵,黃山(湯口)(安徽省志),kʰ,uɐ,44,陽平,
