# 其他土話
id,富川(七都話)_聲母,富川(七都話)_韻母,富川(七都話)_調值,富川(七都話)_調類,富川(八都話)_聲母,富川(八都話)_韻母,富川(八都話)_調值,富川(八都話)_調類,鍾山(公安)_聲母,鍾山(公安)_韻母,鍾山(公安)_調值,鍾山(公安)_調類,賀州(九都話)_聲母,賀州(九都話)_韻母,賀州(九都話)_調值,賀州(九都話)_調類,湖南(道縣)_聲母,湖南(道縣)_韻母,湖南(道縣)_調值,湖南(道縣)_調類,江永城關(白水村)_聲母,江永城關(白水村)_韻母,江永城關(白水村)_調值,江永城關(白水村)_調類,豐陽_聲母,豐陽_韻母,豐陽_調值,豐陽_調類,星子_聲母,星子_韻母,星子_調值,星子_調類,西岸_聲母,西岸_韻母,西岸_調值,西岸_調類,保安_聲母,保安_韻母,保安_調值,保安_調類,連州_聲母,連州_韻母,連州_調值,連州_調類
4995,k,i,52,陰平,k,i,52,陰平,k,ã,35,陰平,k,ɛ,24,陰平,k,a,54,陰平,k,oi,44,陰平,k,iɛŋ,34,陰平,k,ɔŋ,33,陰平,k,o,31,陰平,k,ɵn,33,陰平,k,ɔŋ,22,陰平
4999,m,iu,52,陰平,pʰ,i,52,陰平,pʰ,ã,35,陰平,pʰ,ɛ,24,陰平,p,eŋ,54,陰平,,,,,pʰ,a,34,陰平,pʰ,ɔŋ,33,陰平,pʰ,o,31,陰平,pʰ,ɵ,33,陰平,pʰ,ɔŋ,22,陰平
5000,m,a,24,陰上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5004,0,uaŋ,33,陽平,0,uaŋ,21,陽平,0,uã,23,陽平,0,uɛŋ,213,陽平,ʔ,uŋ,31,陽平,0,uaŋ,41,陽平,v,aŋ,31,陽平,v/v,uŋ/uŋ,21/24,陽去/陽平,ŋ,on,24,陽平,v,ɵn,25,陽平,0,uɔŋ,55,陽平
5009,s,i,52,陰平,s,i,52,陰平,ʃ,ã,35,陰平,s,ɔ,24,陰平,s,eŋ,54,陰平,s,oi,44,陰平,ʃ,a,34,陰平,ʃ,ɔŋ,33,陰平,ʃ,o,31,陰平,ʃ,ɵn,33,陰平,s,ɔŋ,22,陰平
5012,k,aŋ,52,陰平,k,əŋ,52,陰平,k,ã,35,陰平,k,uɛŋ,24,陰平,k,uŋ,54,陰平,,,,,,,,,,,,,,,,,,,,,,,,
5015,k,iŋ,52,陰平,ts,i,52,陰平,k,ã,35,陰平,k,ɛ,24,陰平,ts,eŋ,54,陰平,k,oi,44,陰平,k,a,34,陰平,k,ɔŋ,33,陰平,k,o,31,陰平,k,ɵn,33,陰平,k,ɔŋ,22,陰平
5016,k,i,52,陰平,ts,i,52,陰平,k,ĩ,35,陰平,k,ɛ,24,陰平,ts,eŋ,54,陰平,,,,,k,a,34,陰平,k,ɔŋ,33,陰平,k,ɐn,31,陰平,k,ɵn,33,陰平,k,ɔŋ,22,陰平
5017,k,i,52,陰平,ts,i,52,陰平,k,ĩ,35,陰平,k,ɛ,24,陰平,ts,eŋ,54,陰平,,,,,k,a,34,陰平,k,ɔŋ,33,陰平,k,ɐn,31,陰平,k,ɵn,33,陰平,k,ɔŋ,22,陰平
5021,x,i,33,陽平,x,i,21,陽平,0,ã,23,陽平,x,ɛ,213,陽平,x,eŋ,31,陽平,,,,,h,a,21,陽平,h,ɔŋ,24,陽平,h,o,24,陽平,h,ɵn,25,陽平,h,ɔŋ,55,陽平
5074,s,aŋ,52,陰平,s,ɐi,52,陰平,θ,ĩ,35,陰平,s,iɛ,24,陰平,s,eŋ,54,陰平,s,əŋ,44,陰平,s,ɔi,34,陰平,s,ai,33,陰平,s,əi,31,陰平,s,en,33,陰平,s,eŋ,22,陰平
5078,ts,aŋ,33,陽平,ts,ɐi,21,陽平,θ,ĩ,23,陽平,ts,ɛ,213,陽平,tsʰ,a,31,陽平,ts,əŋ,41,陽平,tsʰ,ɔi,31,陽平,tsʰ,ai,24,陽平,tsʰ,əi,24,陽平,tsʰ,en,25,陽平,tsʰ,eŋ,55,陽平
5079,ts,aŋ,33,陽平,ts,ɐi,21,陽平,θ,ĩ,23,陽平,ts,ɛ,213,陽平,tsʰ,a,31,陽平,,,,,tsʰ,ɔi,31,陽平,tsʰ,ai,24,陽平,tsʰ,əi,24,陽平,tsʰ,en,25,陽平,tsʰ,eŋ,55,陽平
5084,tsʰ,aŋ,52,陰平,tsʰ,ɐi,22,陽上,t,ĩ,35,陰平,tsʰ,ɛ,24,陰平,tsʰ,a,54,陰平,tsʰ,əŋ,44,陰平,tsʰ,ɔi,34,陰平,tsʰ,ai,33,陰平,tsʰ,əi,31,陰平,tsʰ,ei,33,陰平,tsʰ,eŋ,22,陰平
5093,tsʰ,aŋ,52,陰平,tsʰ,iəŋ,52,陰平,t,ĩ,35,陰平,tsʰ,ɛ,24,陰平,ts,eŋ,54,陰平,,,,,,,,,,,,,,,,,,,,,,,,
5094,tsʰ,aŋ,52,陰平,tsʰ,iəŋ,52,陰平,t,ĩ,35,陰平,tsʰ,ɛ,24,陰平,ts,eŋ,54,陰平,,,,,,,,,,,,,,,,,,,,,,,,
5095,tsʰ,aŋ,52,陰平,tsʰ,iəŋ,52,陰平,t,ĩ,35,陰平,tsʰ,ɛ,24,陰平,ts,eŋ,54,陰平,,,,,,,,,,,,,,,,,,,,,,,,
5108,t,aŋ,52,陰平,tʰ,ɛ̃/əŋ,52,陰平,tʰ,ĩ,35,陰平,tʰ,ɛ,24,陰平,tʰ,eŋ,54,陰平,tʰ,aŋ,44,陰平,tʰ,ɔi,34,陰平,tʰ,ai,33,陰平,tʰ,əi,31,陰平,tʰ/tʰ,ei/en,33/33,陰平/陰平,tʰ,eŋ,22,陰平
5109,t,aŋ,52,陰平,tʰ,ɛ̃/əŋ,52,陰平,tʰ,ĩ,35,陰平,tʰ,ɛ,24,陰平,tʰ,eŋ,54,陰平,,,,,tʰ,ɔi,34,陰平,tʰ,ai,33,陰平,tʰ,əi,31,陰平,tʰ/tʰ,ei/en,33/33,陰平/陰平,tʰ,eŋ,22,陰平
5110,t,aŋ,52,陰平,tʰ,ɛ̃/əŋ,52,陰平,tʰ,ĩ,35,陰平,tʰ,ɛ,24,陰平,tʰ,eŋ,54,陰平,,,,,tʰ,ɔi,34,陰平,tʰ,ai,33,陰平,tʰ,əi,31,陰平,tʰ/tʰ,ei/en,33/33,陰平/陰平,tʰ,eŋ,22,陰平
5114,k,u,44,陰去,k,u,24,陰上,k,ĩ,35,陰平,k,ɛ,24,陰平,ts,eŋ,54,陰平,tɕ,iŋ,44,陰平,k,iɛŋ,34,陰平,k,ai,33,陰平,k,in,31,陰平,k,ien,33,陰平,k,eŋ,22,陰平
5119,k,u,44,陰去,k,u,24,陰上,k,ɛŋ,35,陰平,k,ɛ,24,陰平,ts,eŋ,54,陰平,tɕ,iŋ,44,陰平,k,a,34,陰平,k,ɔŋ,33,陰平,k,in,31,陰平,k,ien,33,陰平,k,eŋ,22,陰平
5131,s,iɛŋ,33,陽平,s,iəŋ,21,陽平,0,ĩ,23,陽平,0,iŋ,213,陽平,s,eŋ,31,陽平,ɕ,iŋ,41,陽平,h,iɛŋ,31,陽平,h,ai,24,陽平,h,in,24,陽平,h,ien,25,陽平,h,eŋ,55,陽平
5132,s,iɛŋ,33,陽平,s,iəŋ,21,陽平,0,ĩ,23,陽平,0,iŋ,213,陽平,s,eŋ,31,陽平,,,,,h,iɛŋ,31,陽平,h,ai,24,陽平,h,in,24,陽平,h,ien,25,陽平,h,eŋ,55,陽平
5133,s,i,33,陽平,s,i,21,陽平,ʃ,ĩ,23,陽平,0,iŋ,213,陽平,s,eŋ,31,陽平,ɕ,yŋ,44,陰平,h,ɔi,31,陽平,h,ɵn,24,陽平,h,əi,24,陽平,h,ien,25,陽平,h,eŋ,55,陽平
5134,s,i,33,陽平,s,i,21,陽平,ʃ,ĩ,23,陽平,0,iŋ,213,陽平,s,eŋ,31,陽平,,,,,h,ɔi,31,陽平,h,ɵn,24,陽平,h,əi,24,陽平,h,ien,25,陽平,h,eŋ,55,陽平
5149,0,i,52,陰平,0,ɐi/iəŋ,52,陰平,0,ĩ,35,陰平,0,iŋ,24,陰平,ŋ,eŋ,54,陰平,0,iŋ,44,陰平,0,ɔi,34,陰平,0,ai,33,陰平,0,əi,31,陰平,0,en,33,陰平,0,eŋ,22,陰平
5150,0,i,52,陰平,0,ɐi/iəŋ,52,陰平,0,ĩ,35,陰平,0,iŋ,24,陰平,ŋ,eŋ,54,陰平,,,,,0,ɔi,34,陰平,0,ai,33,陰平,0,əi,31,陰平,0,en,33,陰平,0,eŋ,22,陰平
5151,0,i,52,陰平,0,ɐi/iəŋ,52,陰平,0,ĩ,35,陰平,0,iŋ,24,陰平,ŋ,eŋ,54,陰平,,,,,0,ɔi,34,陰平,0,ai,33,陰平,0,əi,31,陰平,0,en,33,陰平,0,eŋ,22,陰平
5152,0,i,52,陰平,0,ɐi/iəŋ,52,陰平,0,ĩ,35,陰平,0,iŋ,24,陰平,ŋ,eŋ,54,陰平,,,,,0,ɔi,34,陰平,0,ai,33,陰平,0,əi,31,陰平,0,en,33,陰平,0,eŋ,22,陰平
5153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5154,,,,,,,,,,,,,,,,,,,,,k,ai,44,陰平,,,,,,,,,,,,,,,,,,,,
5158,,,,,,,,,,,,,,,,,,,,,0,iŋ,44,陰平,,,,,,,,,,,,,,,,,,,,
5161,l,aŋ,33,陽平,l,iəŋ,21,陽平,l,ĩ,23,陽平,l,ɛ,213,陽平,l,eŋ,31,陽平,l,əŋ,41,陽平,l,ɔi,31,陽平,l,ai,24,陽平,l,əi,24,陽平,l,en,25,陽平,l,eŋ,55,陽平
5162,l,aŋ,33,陽平,l,i,21,陽平,l,ĩ,23,陽平,l,ɛ,213,陽平,l,eŋ,31,陽平,l,ai,41,陽平,l,iɛŋ,31,陽平,l,ai,24,陽平,l,əi,24,陽平,l,en,25,陽平,l,eŋ,55,陽平
5163,l,aŋ,33,陽平,l,i,21,陽平,l,ĩ,23,陽平,l,ɛ,213,陽平,l,eŋ,31,陽平,,,,,l,iɛŋ,31,陽平,l,ai,24,陽平,l,əi,24,陽平,l,en,25,陽平,l,eŋ,55,陽平
5169,t,aŋ,33,陽平,t,ɐi,21,陽平,t,ĩ,23,陽平,t,ɛ,213,陽平,t,eŋ,31,陽平,t,əŋ,41,陽平,t,ɔi,31,陽平,t,ai,24,陽平,t,əi,24,陽平,t,ei,25,陽平,t,eŋ,55,陽平
5173,t,aŋ,33,陽平,t,ɐi,21,陽平,t,ĩ,23,陽平,t,ɛ,213,陽平,t,eŋ,31,陽平,t,əŋ,41,陽平,t,ɔi,31,陽平,t,ai,24,陽平,t,əi,24,陽平,t,ei,25,陽平,t,eŋ,55,陽平
5174,t,aŋ,33,陽平,t,ɐi,21,陽平,t,ĩ,23,陽平,t,ɛ,213,陽平,t,eŋ,31,陽平,,,,,t,ɔi,31,陽平,t,ai,24,陽平,t,əi,24,陽平,t,ei,25,陽平,t,eŋ,55,陽平
5189,n,əŋ,52,陰平,n,ɛ̃,21,陽平,n,ĩ,23,陽平,n,ai,213,陽平,n,eŋ,31,陽平,,,,,n,ɔi,31,陽平,n,ai,24,陽平,n,əi,24,陽平,n,ei,25,陽平,n,eŋ,55,陽平
5190,n,əŋ,52,陰平,n,ɛ̃,21,陽平,n,ĩ,23,陽平,n,ai,213,陽平,n,eŋ,31,陽平,n,əŋ,41/44,陰平/陽平,n,ɔi,31,陽平,n,ai,24,陽平,n,əi,24,陽平,n,ei,25,陽平,n,eŋ,55,陽平
5192,t,aŋ,52,陰平,t,ɛ̃,52,陰平,t,ɛ̃,35,陰平,t,ɛ,24,陰平,t,eŋ,54,陰平,,,,,t,iɛŋ,34,陰平,t,ai,33,陰平,t,əi,31,陰平,t,en,33,陰平,t,eŋ,22,陰平
5193,t,aŋ,52,陰平,t,ɛ̃,52,陰平,t,ɛ̃,35,陰平,t,ɛ,24,陰平,t,eŋ,54,陰平,,,,,t,iɛŋ,34,陰平,t,ai,33,陰平,t,əi,31,陰平,t,en,33,陰平,t,eŋ,22,陰平
5207,k,aŋ,52,陰平,kʰ,ɐi,52,陰平,ʃ,ĩ,35,陰平,kʰ,iɛ,24,陰平,tsʰ,eŋ,55,陰上,tɕʰ,iŋ,44,陰平,kʰ,iɛŋ,34,陰平,h,ai,33,陰平,h,əi,31,陰平,kʰ,ien,33,陰平,h,eŋ,22,陰平
5219,0,iaŋ,33,陽平,0,iəŋ,21,陽平,ȵ,ĩ,23,陽平,ŋ,iɛ,213,陽平,0,ieŋ,31,陽平,l,əŋ,33,陽去,ŋ,ia,31,陽平,ȵ,iɔŋ,24,陽平,ŋ/ŋ,o/on,24/24,陽平/陽平,ŋ,ɵn,25,陽平,ŋ,ɔŋ,55,陽平
5220,0,iaŋ,33,陽平,0,iəŋ,21,陽平,ȵ,ĩ,23,陽平,ŋ,iɛ,213,陽平,0,ieŋ,31,陽平,,,,,ŋ,ia,31,陽平,ȵ,iɔŋ,24,陽平,ŋ/ŋ,o/on,24/24,陽平/陽平,ŋ,ɵn,25,陽平,ŋ,ɔŋ,55,陽平
5225,m,aŋ,33,陽平,m,ɛ̃,21,陽平,m,ɛ̃,23,陽平,m,iɛ,213,陽平,m,eŋ,31,陽平,m,əŋ,41,陽平,m,ɔi,31,陽平,m,ai,24,陽平,m,əi,24,陽平,m,ei,25,陽平,m,eŋ,55,陽平
5244,0,uaŋ,52,陰平,0,yɛŋ,52,陰平,0,yɛ̃,35,陰平,0,yɛ,24,陰平,0,ueŋ,54,陰平,0,yŋ,21,陰去,0,iɛn,34,陰平,v,ɵn,33,陰平,0,yn,31,陰平,0,en,33,陰平,0,eŋ,22,陰平
5245,0,uaŋ,52,陰平,0,yɛŋ,52,陰平,0,yɛ̃,35,陰平,0,yɛ,24,陰平,0,ueŋ,54,陰平,,,,,0,iɛn,34,陰平,v,ɵn,33,陰平,0,yn,31,陰平,0,en,33,陰平,0,eŋ,22,陰平
5246,0,uaŋ,52,陰平,0,yɛŋ,52,陰平,0,yɛ̃,35,陰平,0,yɛ,24,陰平,0,ueŋ,54,陰平,,,,,0,iɛn,34,陰平,v,ɵn,33,陰平,0,yn,31,陰平,0,en,33,陰平,0,eŋ,22,陰平
5267,p,əŋ,52,陰平,p,ɛ̃/əŋ,52,陰平,p,ĩ,35,陰平,p,ɛ,24,陰平,p,eŋ,54,陰平,l/p,ioŋ/əŋ,44,陰平,p,ɔi,34,陰平,p,ai,33,陰平,p,əi,31,陰平,p,en,33,陰平,p,eŋ,22,陰平
5271,pʰ,əŋ,52,陰平,pʰ,ɛ̃,52,陰平,pʰ,ĩ,35,陰平,p,ɛ,24,陰平,pʰ,eŋ,54,陰平,,,,,,,,,,,,,,,,,,,,,,,,
5281,0,uaŋ,33,陽平,s,yɛŋ,21,陽平,0,ĩ,23,陽平,0,yɛ,213,陽平,0,ueŋ,31,陽平,,,,,h,ɔi,31,陽平,h,ɵn,24,陽平,h,in,24,陽平,h,ien,25,陽平,h,eŋ,55,陽平
5282,0,uaŋ,33,陽平,s,yɛŋ,21,陽平,ʃ,yɛ̃,23,陽平,0,yɛ,213,陽平,0,ueŋ,31,陽平,,,,,0,iɛŋ,31,陽平,h,ɵn,24,陽平,h,ɐn,24,陽平,h,ien,25,陽平,h,eŋ,55,陽平
5283,0,uaŋ,33,陽平,s,yɛŋ,21,陽平,ʃ,yɛ̃,23,陽平,0,yɛ,213,陽平,0,ueŋ,31,陽平,ɕ,yŋ,41,陽平,0,iɛŋ,31,陽平,h,ɵn,24,陽平,h,ɐn,24,陽平,h,ien,25,陽平,h,eŋ,55,陽平
5297,s,aŋ,52,陰平,s,ɐi,52,陰平,ʃ,ĩ,35,陰平,s,ɛ,24,陰平,s,eŋ,54,陰平,s,əŋ,44,陰平,s,ɔi,34,陰平,s,ai,33,陰平,s,əi,31,陰平,s,en,33,陰平,s,eŋ,22,陰平
5298,s,aŋ,52,陰平,s,ɐi,52,陰平,ʃ,ĩ,35,陰平,s,ɛ,24,陰平,s,eŋ,54,陰平,,,,,s,ɔi,34,陰平,s,ai,33,陰平,s,əi,31,陰平,s,en,33,陰平,s,eŋ,22,陰平
5299,s,aŋ,52,陰平,s,ɐi,52,陰平,ʃ,ĩ,35,陰平,s,ɛ,24,陰平,s,eŋ,54,陰平,,,,,s,ɔi,34,陰平,s,ai,33,陰平,s,əi,31,陰平,s,en,33,陰平,s,eŋ,22,陰平
5305,s,aŋ,52,陰平,s,ɐi,52,陰平,ʃ,ĩ,54,陰上,s,yɛ,24,陰平,s,eŋ,54,陰平,s,əŋ,44,陰平,s,ɔi,34,陰平,s,ai,33,陰平,s,yn,31,陰平,s,en,33,陰平,s,eŋ,22,陰平
5306,,,,,,,,,,,,,,,,,,,,,,,,,s,ɔi,34,陰平,s,ai,33,陰平,s,yn,31,陰平,s,en,33,陰平,s,eŋ,22,陰平
5307,s,aŋ,52,陰平,s,ɐi,52,陰平,ʃ,ĩ,54,陰上,s,yɛ,24,陰平,s,eŋ,54,陰平,,,,,,,,,,,,,,,,,,,,,,,,
5309,ts,aŋ,21,,ts,ɐi,21,陽平,ʃ,ĩ,23,陽平,ts,ɛ,213,陽平,tsʰ,eŋ,31,陽平,ts,əŋ,41,陽平,tsʰ,ɔi,31,陽平,tsʰ,ai,24,陽平,tsʰ,əi,24,陽平,tsʰ,en,25,陽平,tsʰ,eŋ,55,陽平
5311,tsʰ,aŋ,52,陰平,tsʰ,ɐi,52,陰平,tʰ,ĩ,35,陰平,tsʰ,ɛ,24,陰平,tsʰ,eŋ,54,陰平,,,,,tsʰ,iɛŋ,34,陰平,tsʰ,ai,33,陰平,tsʰ,əi,31,陰平,tsʰ,en,33,陰平,tsʰ,eŋ,22,陰平
5312,tsʰ,aŋ,52,陰平,tsʰ,ɐi,52,陰平,tʰ,ĩ,35,陰平,tsʰ,ɛ,24,陰平,tsʰ,eŋ,54,陰平,,,,,tsʰ,iɛŋ,34,陰平,tsʰ,ai,33,陰平,tsʰ,əi,31,陰平,tsʰ,en,33,陰平,tsʰ,eŋ,22,陰平
5313,tsʰ,aŋ,52,陰平,tsʰ,ɐi,52,陰平,tʰ,ĩ,35,陰平,tsʰ,ɛ,24,陰平,tsʰ,eŋ,54,陰平,,,,,tsʰ,iɛŋ,34,陰平,tsʰ,ai,33,陰平,tsʰ,əi,31,陰平,tsʰ,en,33,陰平,tsʰ,eŋ,22,陰平
5319,ts,aŋ,52,陰平,ts,ɐi,52,陰平,t,ĩ,35,陰平,ts,ɛ,24,陰平,ts,eŋ,54,陰平,ts,əŋ,44,陰平,ts,ɔi,34,陰平,ts,ai,33,陰平,ts,əi,31,陰平,ts,ei,33,陰平,ts,eŋ,22,陰平
5323,0,iɛŋ,33,陽平,0,i,21,陽平,0,ĩ,23,陽平,0,iɛ,213,陽平,ŋ,eŋ,31,陽平,ȵ,iŋ,41,陽平,0,iɛn,31,陽平,0,iai,24,陽平,0,in,24,陽平,j,en,25,陽平,0,ieŋ,55,陽平
5324,n,aŋ,33,陽平,0,i,21,陽平,0,ĩ,23,陽平,0,iɛ,213,陽平,ŋ,eŋ,31,陽平,ȵ,iŋ,41,陽平,,,,,,,,,,,,,,,,,,,,
5332,0,iaŋ,33,陽平,0,iəŋ,21,陽平,0,ĩ,23,陽平,0,iɛ,213,陽平,0,ieŋ,31,陽平,0,iŋ,41,陽平,0,iɛn,31,陽平,0,iai,24,陽平,0,in,24,陽平,j,en,25,陽平,0,ieŋ,55,陽平
5334,0,iaŋ,33,陽平,0,iəŋ,21,陽平,0,ĩ,23,陽平,0,iɛ,213,陽平,0,ieŋ,31,陽平,0,iŋ,41,陽平,,,,,,,,,,,,,,,,,,,,
5350,ts,aŋ,52,陰平,ts,aŋ,52,陰平,tʃ,ĩ,35,陰平,ts,ɛ,24,陰平,ts,eŋ,54,陰平,,,,,,,,,,,,,,,,,,,,,,,,
5367,s,aŋ,52,陰平,s,iəŋ,52,陰平,ʃ,ã,35,陰平,s,iŋ,24,陰平,s,eŋ,54,陰平,,,,,,,,,,,,,,,,,,,,,,,,
5370,s,iɛŋ,44,陰去,s,ɐi,52,陰平,ʃ,i,52,陰去,s,iŋ,52,陰去,s,eŋ,54,陰平,,,,,,,,,,,,,,,,,,,,,,,,
5381,s,aŋ,31,陽上,s,iəŋ,21,陽平,ʃ,ã,23,陽平,s,iŋ,213,陽平,s,eŋ,31,陽平,ɕ,iŋ,41,陽平,,,,,ʃ,ai,24,陽平,ʃ,in,24,陽平,ʃ,en,25,陽平,s,eŋ,55,陽平
5385,s,iɛŋ,33,陽平,s,iŋ,21,陽平,ʃ,ĩ,23,陽平,s,iɛ,213,陽平,s,eŋ,31,陽平,,,,,,,,,ʃ,ai,24,陽平,ʃ,in,24,陽平,ʃ,en,25,陽平,s,eŋ,55,陽平
5388,t,aŋ,33,陽平,ts,aŋ,21,陽平,tʃ,ĩ,23,陽平,ts,iɛ,213,陽平,ts,eŋ,31,陽平,tɕ,iŋ,41,陽平,tʃʰ,ɔi,31,陽平,tʃʰ,ai,24,陽平,tʃʰ,in,24,陽平,tʃʰ,en,25,陽平,tsʰ,eŋ,55,陽平
5389,t,aŋ,33,陽平,ts,aŋ,21,陽平,tʃ,ĩ,23,陽平,ts,iɛ,213,陽平,ts,eŋ,31,陽平,,,,,tʃʰ,ɔi,31,陽平,tʃʰ,ai,24,陽平,tʃʰ,in,24,陽平,tʃʰ,en,25,陽平,tsʰ,eŋ,55,陽平
5403,l,aŋ,33,陽平,l,ɛ̃,21,陽平,l,ĩ,23,陽平,l,ɛ,213,陽平,l,eŋ,31,陽平,l,əŋ,41,陽平,l,ɔi,31,陽平,l,ai,24,陽平,l,əi,24,陽平,l,en,25,陽平,l,eŋ,55,陽平
5404,l,aŋ,33,陽平,l,ɛ̃,21,陽平,l,ĩ,23,陽平,l,ɛ,213,陽平,l,eŋ,31,陽平,,,,,l,uaŋ,31,陽平,l,uŋ,24,陽平,l,yn,24,陽平,l,oŋ,25,陽平,l,ɔŋ,55,陽平
5405,,,,,,,,,,,,,,,,,,,,,l,əŋ,41,陽平,,,,,,,,,,,,,,,,,,,,
5416,pʰ,aŋ,52,陰平,pʰ,ɛ̃,52,陰平,pʰ,ĩ,35,陰平,pʰ,ɛ,24,陰平,pʰ,i,54,陰平,pʰ,əŋ,44,陰平,pʰ,ɔi,34,陰平,pʰ,ai,33,陰平,pʰ,əi,31,陰平,pʰ,en,33,陰平,pʰ,eŋ,22,陰平
5417,pʰ,aŋ,52,陰平,pʰ,ɛ̃,52,陰平,pʰ,ĩ,35,陰平,pʰ,ɛ,24,陰平,pʰ,eŋ,54,陰平,pʰ,əŋ,44,陰平,pʰ,ɔi,34,陰平,pʰ,ai,33,陰平,pʰ,əi,31,陰平,pʰ,en,33,陰平,pʰ,eŋ,22,陰平
5423,p,aŋ,33,陽平,p,ɛ̃,21,陽平,pʰ,ĩ,23,陽平,p,ɛi,213,陽平,p,a,31,陽平,,,,,p,aŋ,31,陽平,p,ai,24,陽平,,,,,,,,,,,,
5433,m,ɐi,33,陽平,m,ɐi,21,陽平,m,ĩ,23,陽平,m,iŋ,213,陽平,m,eŋ,31,陽平,m,əŋ,41,陽平,,,,,,,,,,,,,,,,,,,,
5434,p,ɐi,33,陽平,p,ɐi,21,陽平,m,ĩ,23,陽平,m,iŋ,213,陽平,p,ɯə,31,陽平,m,əŋ,41,陽平,m,ɔi,31,陽平,m,ai,24,陽平,m,əi,24,陽平,m,ei,25,陽平,m,eŋ,55,陽平
5449,t,aŋ,33,陽平,ts,yɐi,21,陽平,θ,uəŋ,23,陽平,ts,yɛ,213,陽平,ts,ye,31,陽平,tɕ,yŋ,41,陽平,tsʰ,iɛŋ,31,陽平,tsʰ,ɵn,24,陽平,tsʰ,yn,24,陽平,tsʰ,oŋ,25,陽平,tsʰ,øn,55,陽平
5450,t,aŋ,33,陽平,ts,yɐi,21,陽平,θ,uəŋ,23,陽平,ts,yɛ,213,陽平,ts,ye,31,陽平,,,,,tsʰ,iɛŋ,31,陽平,tsʰ,ɵn,24,陽平,tsʰ,yn,24,陽平,tsʰ,oŋ,25,陽平,tsʰ,øn,55,陽平
5451,t,aŋ,33,陽平,ts,øi,21,陽平,θ,uəŋ,23,陽平,ts,yɛ,213,陽平,tsʰ,ye,31,陽平,tɕ,yŋ,41,陽平,tsʰ,iɛŋ,31,陽平,tsʰ,ɵn,24,陽平,tsʰ,yn,24,陽平,tsʰ,oŋ,25,陽平,tsʰ,øn,55,陽平
5456,s,ɛŋ,52,陰平,s,yɐi,22,陽上,θ,ĩ,35,陰平,s,yɛ,24,陰平,s,ye,54,陰平,,,,,s,iɛŋ,34,陰平,s,ɵn,33,陰平,s,yn,31,陰平,s,oŋ,33,陰平,s,øn,22,陰平
5485,tʰ,aŋ,52,陰平,tsʰ,yɐi,52,陰平,tʃʰ,yɛ̃,35,陰平,tsʰ,yɛ,24,陰平,tsʰ,yeŋ,54,陰平,tɕʰ,yŋ,44,陰平,tʃʰ,ɛu,34,陰平,tʃʰ,ɵn,33,陰平,tʃʰ,yn,31,陰平,tʃʰ,oŋ,33,陰平,tsʰ,øn,22,陰平
5486,tʰ,aŋ,52,陰平,tsʰ,yɐi,52,陰平,tʃʰ,yɛ̃,35,陰平,tsʰ,yɛ,24,陰平,tsʰ,yeŋ,54,陰平,tɕʰ,yŋ,44,陰平,,,,,,,,,,,,,,,,,,,,
5488,0,uaŋ,33,陽平,0,uɛ̃,21,陽平,0,yɛ̃,23,陽平,0,yɛ,213,陽平,0,yeŋ,31,陽平,,,,,0,iɛn,31,陽平,0,iɵn,24,陽平,0/0,y/yn,24/24,陽平/陽平,j,oŋ,25,陽平,0,iøn,55,陽平
5489,0,uaŋ,33,陽平,0,uɛ̃,21,陽平,0,yɛ̃,23,陽平,0,yɛ,213,陽平,0,yeŋ,31,陽平,,,,,0,iɛn,31,陽平,0,iɵn,24,陽平,0/0,y/yn,24/24,陽平/陽平,j,oŋ,25,陽平,0,iøn,55,陽平
5490,tsʰ,aŋ,52,陰平,0,uɛ̃,21,陽平,0,yɛ̃,23,陽平,0,yɛ,213,陽平,0,yeŋ,31,陽平,,,,,0,iɛu,31,陽平,0,iɵn,24,陽平,0,y,24,陽平,j,oŋ,25,陽平,0,iøn,55,陽平
5491,tsʰ,aŋ,52,陰平,0,uɛ̃,21,陽平,0,yɛ̃,23,陽平,0,yɛ,213,陽平,0,yeŋ,31,陽平,,,,,0,iɛu,31,陽平,0,iɵn,24,陽平,0,y,24,陽平,j,oŋ,25,陽平,0,iøn,55,陽平
5493,k,uaŋ,52,陰平,ts,yɛ,22,陽上,k,yɛ̃,35,陰平,k,yɛ,24,陰平,k,yeŋ,54,陰平,tɕ,yŋ,44,陰平,,,,,,,,,,,,,,,,,,,,
5496,0,uaŋ,33,陽平,0,uɛ̃,21,陽平,0,yɛ̃,23,陽平,0,yɛ,213,陽平,0,yeŋ,31,陽平,0,yŋ,41,陽平,0,iɛn,31,陽平,0,iɵn,24,陽平,0,yn,24,陽平,j,oŋ,25,陽平,0,iøn,55,陽平
5500,,,,,s,yɐi,21,陽平,,,,,s,yɛ,213,陽平,s,ye,31,陽平,,,,,,,,,,,,,,,,,,,,,,,,
5517,,,,,,,,,,,,,,,,,,,,,tɕ,yŋ,44,陰平,,,,,,,,,,,,,,,,,,,,
5524,s,iɛ,33,陽平,s,yɐi,21,陽平,ʃ,yɛ̃,23,陽平,s,yɛ,213,陽平,tsʰ,yeŋ,31,陽平,,,,,ʃ,ɛu,31,陽平,ʃ,ɵn,24,陽平,ʃ,y,24,陽平,ʃ,u,25,陽平,s,øn,55,陽平
