# 徽語
id,旌德(安徽省志)_聲母,旌德(安徽省志)_韻母,旌德(安徽省志)_調值,旌德(安徽省志)_調類,績溪(安徽省志)_聲母,績溪(安徽省志)_韻母,績溪(安徽省志)_調值,績溪(安徽省志)_調類,黃山(湯口)(安徽省志)_聲母,黃山(湯口)(安徽省志)_韻母,黃山(湯口)(安徽省志)_調值,黃山(湯口)(安徽省志)_調類,黟縣(安徽省志)_聲母,黟縣(安徽省志)_韻母,黟縣(安徽省志)_調值,黟縣(安徽省志)_調類,祁門(安徽省志)_聲母,祁門(安徽省志)_韻母,祁門(安徽省志)_調值,祁門(安徽省志)_調類,屯溪(安徽省志)_聲母,屯溪(安徽省志)_韻母,屯溪(安徽省志)_調值,屯溪(安徽省志)_調類
707,p,o,35,陰平,p,õ,31,陰平,p,ɔ,55,陰平,p,ɔŋ,21,陰平,p,ũɐ̆,11,陰平,p,au,33,陰平
725,s,o,35,陰平,s,õ,31,陰平,ɬ,ɔ,55,陰平,ʃ,ɔŋ,21,陰平,ʂ,ũɐ̆,11,陰平,s,au,33,陰平
772,ts,ɿ,35,陰平,ts,ɿ,31,陰平,tɕ,i,55,陰平,ts,ɿ,21,陰平,tʂ,i,11,陰平,tɕ,i,33,陰平
891,tsʰ,uɪ,35,陰平,tɕʰ,y,31,陰平,tɕʰ,y,55,陰平,tsʰ,u,21,陰平,tɕʰ,y,11,陰平,tɕʰ,y,33,陰平
908,p,i,35,陰平,p,ɪi,31,陰平,p,ɐ,55,陰平,p,ɛi,21,陰平,p,i,11,陰平,p,e,33,陰平
925,tsʰ,ɿ,42,陽平,tsʰ,ɿ,44,陽平,tɕʰ,i,44,陽平,tʃʰ,ɛi,44,陽平,tɕʰ,i,55,陽平,tɕʰ,i,42,陰去
959,s,ɿ,35,陰平,ɕ,ɿ,31,陰平,x,i,55,陰平,ʃ,ɛi,21,陰平,ɕ,i,11,陰平,ɕ,i,33,陰平
999,pʰ,ɿ,42,陽平,pʰ,ɿ,44,陽平,pʰ,i,44,陽平,pʰ,ɛi,44,陽平,pʰ,i,55,陽平,pʰ,i,42,陰去
1018,0,e,42,陽平,0,ɛ̃,44,陽平,0,ɚ,44,陽平,0,əɐ̆,44,陽平,0,ɚ,55,陽平,0,ɚ,42,陰去
1019,0,e,42,陽平,0,ɛ̃,44,陽平,0,ɚ,44,陽平,0,əɐ̆,44,陽平,0,ɚ,55,陽平,0,ɚ,42,陰去
1193,ts,ɿ,35,陰平,ts,ɿ,31,陰平,tɕ,i,55,陰平,ts,ɿ,21,陰平,tʂ,i,11,陰平,tɕ,i,33,陰平
1225,v,ɪ,42,陽平,v,ei,44,陽平,v,ɐ,44,陽平,ȵ,yɛi,44,陽平,0,uei,55,陽平,v,e,42,陰去
1288,0,i,42,陽平,0,ɿ,44,陽平,0,i,44,陽平,0,iɛi,44,陽平,0,i,55,陽平,0,i,42,陰去
