# 徽語
id,旌德(安徽省志)_聲母,旌德(安徽省志)_韻母,旌德(安徽省志)_調值,旌德(安徽省志)_調類,績溪(安徽省志)_聲母,績溪(安徽省志)_韻母,績溪(安徽省志)_調值,績溪(安徽省志)_調類,黃山(湯口)(安徽省志)_聲母,黃山(湯口)(安徽省志)_韻母,黃山(湯口)(安徽省志)_調值,黃山(湯口)(安徽省志)_調類,黟縣(安徽省志)_聲母,黟縣(安徽省志)_韻母,黟縣(安徽省志)_調值,黟縣(安徽省志)_調類,祁門(安徽省志)_聲母,祁門(安徽省志)_韻母,祁門(安徽省志)_調值,祁門(安徽省志)_調類,屯溪(安徽省志)_聲母,屯溪(安徽省志)_韻母,屯溪(安徽省志)_調值,屯溪(安徽省志)_調類
4661,l,æ,42,陽平,n,ɔ,44,陽平,n,ɑ,44,陽平,n,ɔɐ̆,44,陽平,n,ɔ̃,55,陽平,l,ɔ,42,陰去
4662,l,æ,42,陽平,n,ɔ,44,陽平,n,ɑ,44,陽平,n,ɔɐ̆,44,陽平,n,ɔ̃,55,陽平,l,ɔ,42,陰去
4663,l,æ,42,陽平,n,ɔ,44,陽平,n,ɑ,44,陽平,n,ɔɐ̆,44,陽平,n,ɔ̃,55,陽平,l,ɔ,42,陰去
4708,k,e,35,陰平,k,ɔ,31,陰平,k,ɑ,55,陰平,k,uɐ̆,21,陰平,k,ɔ̃,11,陰平,k,uɐ̆,33,陰平
4720,l,æ,42,陽平,l,ɔ,44,陽平,l,ɑ,44,陽平,l,ɔɐ̆,44,陽平,n,ɔ̃,55,陽平,l,ɔ,42,陰去
4808,s,e,35,陰平,s,ɑ̃,31,陰平,s,ɐ,55,陰平,s,uɐ̆,21,陰平,s,ũɐ̆,11,陰平,s,uɐ̆,31,陰上
4834,k,ue,35,陰平,k,uɔ,31,陰平,k,uɑ,55,陰平,k,uɐ̆,21,陰平,k,ũɐ̆,11,陰平,k,uɐ̆,33,陰平
4871,kʰ,ue,35,陰平,kʰ,uɔ,31,陰平,kʰ,uɑ,55,陰平,kʰ,uɐ̆,21,陰平,kʰ,ũɐ̆,11,陰平,kʰ,uɐ̆,31,陰上
4879,pʰ,e,42,陽平,pʰ,ɑ̃,44,陽平,pʰ,ɐ,44,陽平,p,ɔɐ̆,44,陽平,p,ũɐ̆,55,陽平,pʰ,uɐ̆,42,陰去
4880,pʰ,e,42,陽平,pʰ,ɑ̃,44,陽平,pʰ,ɐ,44,陽平,p,ɔɐ̆,44,陽平,p,ũɐ̆,55,陽平,pʰ,uɐ̆,42,陰去
4881,pʰ,e,42,陽平,pʰ,ɑ̃,44,陽平,pʰ,ɐ,44,陽平,p,ɔɐ̆,44,陽平,p,ũɐ̆,55,陽平,pʰ,uɐ̆,42,陰去
4882,pʰ,e,42,陽平,pʰ,ɑ̃,44,陽平,pʰ,ɐ,44,陽平,p,ɔɐ̆,44,陽平,p,ũɐ̆,55,陽平,pʰ,uɐ̆,42,陰去
4941,k,uæ,35,陰平,k,uɔ,31,陰平,k,uɑ,55,陰平,k,uɐ̆,21,陰平,k,ũɐ̆,11,陰平,k,uɐ̆,33,陰平
4942,k,uæ,35,陰平,k,uɔ,31,陰平,k,uɑ,55,陰平,k,uɐ̆,21,陰平,k,ũɐ̆,11,陰平,k,uɐ̆,33,陰平
4947,v,æ,35,陰平,v,uɔ,31,陰平,v,ɑ,55,陰平,0,uɐ̆,21,陰平,ŋ,ũɐ̆,11,陰平,0,uɐ̆,33,陰平
4952,ɕ,yɪ,35,陰平,s,ɔ,31,陰平,ɕ,yĔ,55,陰平,ʃ,uɐ̆,21,陰平,ʂ,ũɐ̆,11,陰平,s,uɐ̆,33,陰平
4973,p,æ,35,陰平,p,ɔ,31,陰平,p,ɑ,55,陰平,p,ɔɐ̆,21,陰平,p,uɐ̆,11,陰平,p,uɐ̆,33,陰平
4995,k,æ,35,陰平,k,ɔ,31,陰平,k,ɑ,55,陰平,k,ɔɐ̆,21,陰平,k,ɔ̃,11,陰平,k,ɔ,33,陰平
5009,s,æ,35,陰平,s,ɔ,31,陰平,ɬ,ɑ,55,陰平,s,ɔ̃,21,陰平,ɕ,iɔ̃,11,陰平,s,ɔ,33,陰平
5015,k,æ,35,陰平,k,ɔ,31,陰平,k,ɑ,55,陰平,k,ɔɐ̆,21,陰平,kʰ,ɔ̃,11,陰平,k,ɔ,33,陰平
5074,ɕ,i,35,陰平,s,ɛ̃i,31,陰平,ɬ,iĔ,55,陰平,ʃ,iɐ̆,21,陰平,s,ĩɐ̆,11,陰平,s,iɐ̆,33,陰平
5119,tɕ,i,35,陰平,tɕ,iɪ̃,31,陰平,tɕ,iĔ,55,陰平,tʃ,iɐ̆,21,陰平,tɕ,ĩɐ̆,11,陰平,tɕ,iɐ̆,33,陰平
5131,ɕ,i,42,陽平,ɕ,iɪ̃,44,陽平,ɕ,iĔ,44,陽平,ʃ,iɐ̆,44,陽平,ɕ,ĩɐ̆,55,陽平,ɕ,iɐ̆,42,陰去
5132,ɕ,i,42,陽平,ɕ,iɪ̃,44,陽平,ɕ,iĔ,44,陽平,ʃ,iɐ̆,44,陽平,ɕ,ĩɐ̆,55,陽平,ɕ,iɐ̆,42,陰去
5189,ȵ,i,42,陽平,n,iɪ̃,44,陽平,n,iĔ,44,陽平,ȵ,iɐ̆,44,陽平,ȵ,iɐ̆,55,陽平,ȵ,iɐ̆,42,陰去
5190,ȵ,i,42,陽平,n,iɪ̃,44,陽平,n,iĔ,44,陽平,ȵ,iɐ̆,44,陽平,ȵ,iɐ̆,55,陽平,ȵ,iɐ̆,42,陰去
5309,tɕʰ,i,42,陽平,ts,ɛ̃i,44,陽平,tɬʰ,iĔ,44,陽平,tʃ,iɐ̆,44,陽平,tsʰ,ĩɐ̆,55,陽平,tsʰ,iɐ̆,42,陰去
5323,ȵ,i,42,陽平,0,iɪ̃,44,陽平,0,iĔ,44,陽平,0,iɐ̆,44,陽平,ȵ,ĩɐ̆,55,陽平,0,iɐ̆,42,陰去
5434,m,i,42,陽平,m,ɛ̃i,44,陽平,m,iĔ,44,陽平,m,iɐ̆,44,陽平,m,ĩɐ̆,55,陽平,0,iɐ̆,42,陰去
5451,tɕʰ,yɪ,42,陽平,tɕʰ,yɛ̃i,44,陽平,tɬʰ,yĔ,44,陽平,tʃʰ,iɐ̆,44,陽平,tsʰ,ỹɐ̆,55,陽平,tsʰ,iɐ̆,42,陰去
5456,ɕ,yɪ,35,陰平,ɕ,yɛ̃i,31,陰平,ɕ,yĔ,55,陰平,ʃʰ,yɐ̆,21,陰平,ɕ,ỹɐ̆,11,陰平,s,iɐ̆,33,陰平
5524,tɕʰ,yɪ,42,陽平,tɕʰ,yɛ̃i,44,陽平,tɕʰ,yE,44,陽平,ʃ,uɐ̆,44,陽平,ɕʰ,ỹɐ̆,55,陽平,tɕʰ,yɐ̆,42,陰去
5525,tɕʰ,yɪ,42,陽平,tɕʰ,yɛ̃i,44,陽平,tɕʰ,yE,44,陽平,ʃ,uɐ̆,44,陽平,ɕʰ,ỹɐ̆,55,陽平,tɕʰ,yɐ̆,42,陰去
5526,p,i,35,陰平,p,ɛ̃i,31,陰平,p,iĔ,55,陰平,p,iɐ̆,21,陰平,p,ĩɐ̆,11,陰平,p,iɐ̆,33,陰平
5554,tɕ,yɪ,35,陰平,tɕ,yɛ̃i,31,陰平,tɕ,yĔ,55,陰平,tʃ,uɐ̆,21,陰平,tɕ,ỹɐ̆,11,陰平,tɕ,yɐ̆,33,陰平
5574,0/v,yɪ/ɪ,42,陽平,0,yɛ̃i,44,陽平,0,yĔ,44,陽平,0,yɐ̆,44,陽平,0,ỹɐ̆,55,陽平,0,yɐ̆,42,陰去
5575,0/v,yɪ/ɪ,42,陽平,0,yɛ̃i,44,陽平,0,yĔ,44,陽平,0,yɐ̆,44,陽平,0,ỹɐ̆,55,陽平,0,yɐ̆,42,陰去
5604,tɕʰ,yɪ,42,陽平,tɕʰ,yɛ̃i,44,陽平,tɕʰ,yĔ,44,陽平,tʃʰ,yɐ̆,44,陽平,tɕʰ,ỹɐ̆,55,陽平,tɕʰ,yɐ̆,42,陰去
5628,tɕʰ,yɪ,42,陽平,tɕʰ,yɛ̃i,44,陽平,tɕʰ,yĔ,44,陽平,tʃʰ,uɐ̆,44,陽平,tɕʰ,ỹɐ̆,55,陽平,0,yɐ̆,42,陰去
5700,tʰ,iɔ,42,陽平,tʰ,ie,44,陽平,tʰ,iɑ,44,陽平,tʰ,iu,44,陽平,tʰ,ia,55,陽平,tʰ,iu,42,陰去
5814,tɕʰ,iɔ,35,陰平,tɕʰ,ie,31,陰平,tɕʰ,iɑ,55,陰平,tʃʰ,iu,21,陰平,tʂʰ,ɯɐ̆,11,陰平,tɕʰ,io,33,陰平
5853,tɕ,iɔ,35,陰平,tɕ,ie,31,陰平,tɕ,iɑ,55,陰平,tʃ,iu,21,陰平,tɕ,iɯɐ̆,11,陰平,tɕ,io,33,陰平
5862,tɕ,i,35,陰平,tɕ,ie,31,陰平,tɬ,iɑ,55,陰平,tʃ,iu,21,陰平,ts,ia,11,陰平,ts,iu,33,陰平
5863,tɕ,i,35,陰平,tɕ,ie,31,陰平,tɬ,iɑ,55,陰平,tʃ,iu,21,陰平,ts,ia,11,陰平,ts,iu,33,陰平
5885,ɕ,iɔ,35,陰平,ɕ,ie,31,陰平,ɕ,iɑ,55,陰平,ʃ,iu,21,陰平,ɕ,iɯɐ̆,11,陰平,ɕ,iu,33,陰平
5901,0,iɔ,42,陽平,0,ie,44,陽平,0,iɑ,44,陽平,0,iu,44,陽平,0,iɯɐ̆,55,陽平,0,io,42,陰去
5936,tɕ,iɔ,35,陰平,tɕ,ie,31,陰平,tɕ,iɑ,55,陰平,tʃ,iu,21,陰平,tʂ,ɯɐ̆,11,陰平,tɕ,iu,33,陰平
5990,tɕʰ,iɔ,42,陽平,tɕʰ,ie,44,陽平,tɕʰ,iɑ,44,陽平,tʃʰ,iu,44,陽平,tɕʰ,iɯɐ̆,55,陽平,tɕʰ,io,42,陰去
6035,pʰ,iɔ,35,陰平,pʰ,ie,31,陰平,pʰ,iɑ,55,陰平,pʰ,iu,21,陰平,pʰ,ia,11,陰平,pʰ,iu,33,陰平
6100,tsʰ,ɔ,42,陽平,tsʰ,ə,44,陽平,tɬʰ,ɔ,44,陽平,tʃ,iu,44,陽平,tʂʰ,uɐ̆,55,陽平,tsʰ,ə,42,陰去
6173,kʰ,ɔ,35,陰平,kʰ,ə,31,陰平,kʰ,ɔ,55,陰平,kʰ,ɑu,21,陰平,kʰ,ɔ,11,陰平,kʰ,o,33,陰平
6191,ts,ɔ,35,陰平,ts,o,31,陰平,tɬ,uɐ̆,55,陰平,tʃ,uɐ̆,21,陰平,tʂ,uɐ̆,11,陰平,ts,uɐ̆,33,陰平
6251,k,ɔ,35,陰平,k,ə,31,陰平,k,ɔ,55,陰平,k,əɐ̆,21,陰平,k,ɔ,11,陰平,k,ə,33,陰平
6301,m,ɔ,42,陽平,m,ə,44,陽平,m,ɔ,44,陽平,m,əɐ̆,44,陽平,m,ɔ,55,陽平,m,ə,42,陰去
6339,t,ɔ,35,陰平,t,ə,31,陰平,t,ɔ,55,陰平,t,əɐ̆,21,陰平,t,ɔ,11,陰平,t,ə,33,陰平
6460,k,ɷ,35,陰平,k,ɵ,31,陰平,k,ɷ,55,陰平,k,au,21,陰平,k,ɔ,11,陰平,k,o,33,陰平
6461,k,ɷ,35,陰平,k,ɵ,31,陰平,k,ɷ,55,陰平,k,au,21,陰平,k,ɔ,11,陰平,k,o,33,陰平
6478,t,u,35,陰平,t,ɵ,31,陰平,t,ɷ,55,陰平,t,au,21,陰平,t,uɐ,11,陰平,t,o,33,陰平
6560,l,u,42,陽平,l,ɵ,44,陽平,l,ɷ,44,陽平,l,au,44,陽平,l,uɐ,55,陽平,l,o,42,陰去
6572,x,ɷ,42,陽平,x,ɵ,44,陽平,x,ɷ,44,陽平,x,au,44,陽平,x,uɐ,55,陽平,x,o,42,陰去
6624,pʰ,u,42,陽平,pʰ,ɵ,44,陽平,pʰ,ɷ,44,陽平,pʰ,au,44,陽平,pʰ,ɔ,55,陽平,pʰ,o,42,陰去
6666,l,u,42,陽平,l,ɵ,44,陽平,l,ɷ,44,陽平,l,au,44,陽平,l,uɐ̆,55,陽平,l,o,42,陰去
6667,l,u,42,陽平,l,ɵ,44,陽平,l,ɷ,44,陽平,l,au,44,陽平,l,uɐ̆,55,陽平,l,o,42,陰去
6701,kʰ,ɷ,35,陰平,kʰ,ɵ,31,陰平,kʰ,ɷ,55,陰平,kʰ,au,21,陰平,kʰ,uɐ̆,11,陰平,kʰ,o,33,陰平
6722,ɕ,ya,35,陰平,ɕ,yɔ,31,陰平,ɕ,iĔ,55,陰平,ɕ,yɐ̆,21,陰平,ɕ,yɐ̆,11,陰平,ɕ,yɐ̆,33,陰平
6723,ɕ,ya,35,陰平,ɕ,yɔ,31,陰平,ɕ,iĔ,55,陰平,ɕ,yɐ̆,21,陰平,ɕ,yɐ̆,11,陰平,ɕ,yɐ̆,33,陰平
6731,tɕʰ,ia,42,陽平,tɕʰ,yɔ,44,陽平,tɕ,ya,44,陽平,tʃ,iu,44,陽平,tɕʰ,iɐ,55,陽平,tɕʰ,yɛ,42,陰去
6744,m,ɔ,42,陽平,m,o,44,陽平,m,uɐ̆,44,陽平,m,ɔɐ̆,44,陽平,m,uɐ̆,55,陽平,m,uɐ̆,42,陰去
6752,tsʰ,ɔ,35,陰平,tɕʰ,iɔ,31,陰平,tɕʰ,iĔ,55,陰平,tʃʰ,iɐ̆,21,陰平,tʂʰ,iɐ̆,11,陰平,tɕʰ,ia,33,陰平
6786,s,ɔ,42,陽平,ɕ/s,iɔ/o,44,陽平,ɕ,iĔ,44,陽平,ʃ,iɐ̆,44,陽平,ɕ,iɐ̆,55,陽平,ɕ,ia,42,陰去
6787,s,ɔ,42,陽平,ɕ/s,iɔ/o,44,陽平,ɕ,iĔ,44,陽平,ʃ,iɐ̆,44,陽平,ɕ,iɐ̆,55,陽平,ɕ,ia,42,陰去
6799,k,uɔ,35,陰平,k,o,31,陰平,k,uɐ̆,55,陰平,k,uɐ̆,21,陰平,k,uɐ̆,11,陰平,k,uɐ̆,33,陰平
6806,x,uɔ,35,陰平,x,o,31,陰平,x,uɐ̆,55,陰平,x,uɐ̆,21,陰平,x,uɐ̆,11,陰平,x,uɐ̆,33,陰平
6807,x,uɔ,35,陰平,x,o,31,陰平,x,uɐ̆,55,陰平,x,uɐ̆,21,陰平,x,uɐ̆,11,陰平,x,uɐ̆,33,陰平
6828,k,ɔ,35,陰平,k,o,31,陰平,k,uɐ̆,55,陰平,k,ɔɐ̆,21,陰平,k,ɯɐ̆,11,陰平,k,ɔ,33,陰平
6898,s,ɔ,35,陰平,s,o,31,陰平,ɬ,uɐ̆,55,陰平,ʃ,ɔɐ̆,21,陰平,ɕ,iɯɐ̆,11,陰平,s,ɔ,33,陰平
6899,s,ɔ,35,陰平,s,o,31,陰平,ɬ,uɐ̆,55,陰平,ʃ,ɔɐ̆,21,陰平,ɕ,iɯɐ̆,11,陰平,s,ɔ,33,陰平
6930,tsʰ,ɔ,42,陽平,tsʰ,o,44,陽平,tɬ,uɐ̆,44,陽平,tʃ,ɔɐ̆,44,陽平,tʂ,ɯɐ̆,55,陽平,tsʰ,ɔ,42,陰去
6931,tsʰ,ɔ,42,陽平,tsʰ,o,44,陽平,tɬ,uɐ̆,44,陽平,tʃ,ɔɐ̆,44,陽平,tʂ,ɯɐ̆,55,陽平,tsʰ,ɔ,42,陰去
6953,0,uɔ,35,陰平,0,o,31,陰平,v,ɑ,55,陰平,0,uɑ,21,陰平,0,uɐ̆,11,陰平,v,ɑ,33,陰平
6961,pʰ,ɔ,42,陽平,pʰ,o,44,陽平,pʰ,uɐ̆,44,陽平,pʰ,ɔɐ̆,44,陽平,pʰ,uɐ̆,55,陽平,pʰ,uɐ̆,42,陰去
7005,0,iæ,42,陽平,0,iõ,44,陽平,0,iɔ,44,陽平,0,iŋ,44,陽平,ȵ,iɔ̃,55,陽平,0,iau,42,陰去
7038,l,iæ,42,陽平,n,iõ,44,陽平,l,iɔ,44,陽平,l,iŋ,44,陽平,n,iã,55,陽平,l,iau,42,陰去
7080,x,o,42,陽平,x,õ,44,陽平,f,ɔ,44,陽平,f,ɔŋ,44,陽平,f,ũɐ̆,55,陽平,f,au,42,陰去
7137,tɕ,iæ,35,陰平,tɕ,iõ,31,陰平,tɕ,iɔ,55,陰平,tʃ,iŋ,21,陰平,tʂ,ɔ̃,11,陰平,tɕ,iau,33,陰平
7156,0,iæ,42,陽平,0,iõ,44,陽平,n,iɔ,44,陽平,ȵ,iŋ,44,陽平,ȵ,iɔ̃,55,陽平,0,iau,42,陰去
7158,x,o,35,陰平,x,õ,31,陰平,f,ɔ,55,陰平,f,ɔŋ,21,陰平,f,ũɐ̆,11,陰平,f,au,33,陰平
7206,ȵ,iæ,42,陽平,n,iõ,44,陽平,n,iɔ,44,陽平,ȵ,iŋ,44,陽平,ȵ,iɔ̃,55,陽平,ȵ,iau,42,陰去
7209,s,o,42,陽平,s,õ,44,陽平,ɬ,ɔ,44,陽平,ʃ,ɔŋ,44,陽平,ʂ,ũɐ,55,陽平,s,au,42,陰去
7210,s,o,42,陽平,s,õ,44,陽平,ɬ,ɔ,44,陽平,ʃ,ɔŋ,44,陽平,ʂ,ũɐ,55,陽平,s,au,42,陰去
7246,tɕʰ,iæ,35,陰平,tɕʰ,iõ,31,陰平,tɬʰ,iɔ,55,陰平,tʃʰ,iŋ,21,陰平,tsʰ,iã,11,陰平,tsʰ,iau,33,陰平
7269,v,o,42,陽平,0,õ,44,陽平,v,ɔ,44,陽平,0,uɑŋ,44,陽平,ŋ,ũɐ̆,55,陽平,0,au,42,陰去
7282,tɕʰ,iæ,42,陽平,tɕʰ,iõ,44,陽平,tɕʰ,iɔ,44,陽平,tʃʰ,iŋ,44,陽平,tɕʰ,iɔ̃,55,陽平,tɕʰ,iau,42,陰去
7292,kʰ,o,42,陽平,kʰ,õ,44,陽平,kʰ,ɔ,44,陽平,kʰ,uɑŋ,44,陽平,kʰ,ũɐ̆,55,陽平,kʰ,au,42,陰去
7297,tʰ,o,42,陽平,tʰ,õ,44,陽平,t,ɔ,44,陽平,tʰ,ɔŋ,44,陽平,tʰ,ɔ̃,55,陽平,t,au,42,陰去
7298,tʰ,o,42,陽平,tʰ,õ,44,陽平,t,ɔ,44,陽平,tʰ,ɔŋ,44,陽平,tʰ,ɔ̃,55,陽平,t,au,42,陰去
7299,tʰ,o,42,陽平,tʰ,õ,44,陽平,t,ɔ,44,陽平,tʰ,ɔŋ,44,陽平,tʰ,ɔ̃,55,陽平,t,au,42,陰去
7391,k,o,35,陰平,k,õ,31,陰平,k,ɔ,55,陰平,k,ɔŋ,21,陰平,k,ɔ̃,11,陰平,k,au,33,陰平
7401,s,o,35,陰平,s,õ,31,陰平,ɬ,ɔ,55,陰平,s,ɔŋ,21,陰平,s,ũɐ̆,11,陰平,s,au,33,陰平
7402,s,o,35,陰平,s,õ,31,陰平,ɬ,ɔ,55,陰平,s,ɔŋ,21,陰平,s,ũɐ̆,11,陰平,s,au,33,陰平
7467,k,o,35,陰平,k,õ,31,陰平,k,ɔ,55,陰平,k,ɔŋ,21,陰平,k,ũɐ̆,11,陰平,k,au,33,陰平
7468,k,o,35,陰平,k,õ,31,陰平,k,ɔ,55,陰平,k,ɔŋ,21,陰平,k,ũɐ̆,11,陰平,k,au,33,陰平
7499,v,o,35,陰平,0,õ,31,陰平,v,ɔ,55,陰平,0,ɔŋ,21,陰平,ŋ,ũɐ̆,11,陰平,0,au,33,陰平
7526,x,o,42,陽平,x,õ,44,陽平,x,ɔ,44,陽平,x,ɔŋ,44,陽平,x,ɔ̃,55,陽平,x,au,42,陰去
7537,m,o,42,陽平,m,õ,44,陽平,m,ɔ,44,陽平,m,ɔŋ,44,陽平,m,ũɐ̆,55,陽平,m,au,42,陰去
7538,m,o,42,陽平,m,õ,44,陽平,m,ɔ,44,陽平,m,ɔŋ,44,陽平,m,ũɐ̆,55,陽平,m,au,42,陰去
7577,p,o,35,陰平,p,õ,31,陰平,p,ɔ,55,陰平,p,ɔŋ,21,陰平,p,ũɐ̆,11,陰平,p,au,33,陰平
7578,p,o,35,陰平,p,õ,31,陰平,p,ɔ,55,陰平,p,ɔŋ,21,陰平,p,ũɐ̆,11,陰平,p,au,33,陰平
7594,kʰ,e,35,陰平,k,ɛ̃i,31,陰平,kʰ,iɐ,55,陰平,kʰ,ɑ,21,陰平,kʰ,ã,11,陰平,kʰ,ɛ,33,陰平
7595,kʰ,e,35,陰平,k,ɛ̃i,31,陰平,kʰ,iɐ,55,陰平,kʰ,ɑ,21,陰平,kʰ,ã,11,陰平,kʰ,ɛ,33,陰平
7596,kʰ,e,35,陰平,k,ɛ̃i,31,陰平,kʰ,iɐ,55,陰平,kʰ,ɑ,21,陰平,kʰ,ã,11,陰平,kʰ,ɛ,33,陰平
7641,pʰ,əŋ,42,陽平,pʰ,ɑ̃,44,陽平,pʰ,ɐ,44,陽平,pʰ,ɑ,44,陰平,pʰ,ɐŋ,55,陽平,pʰ,an,42,陰去
7718,0,iŋ,42,陽平,0,yɛ̃i,44,陽平,0,iəŋ,44,陽平,0,iɑŋ,44,陽平,ȵ,iɐŋ,55,陽平,0,iɛ,42,陰去
7724,p,iŋ,35,陰平,p,iɑ̃,31,陰平,p,e,55,陰平,p,ɛɐ̆,21,陰平,p,æn,11,陰平,p,ɛ,33,陰平
7725,ɕ,yŋ,35,陰平,ɕ,yɛ̃i,31,陰平,ɕ,iəŋ,55,陰平,ʃ,yɛɐ̆,21,陰平,ɕ,yæn,11,陰平,ɕ,ye,33,陰平
7727,s,e,35,陰平,s,ɑ̃/ɛ̃i,31,陰平,ɬ,ɐ,55,陰平,ʃ,ɑ,21,陰平,ɕ,iã,11,陰平,ɕ,iɛ,33,陰平
7748,0,iŋ,42,陽平,n,iɑ̃,44,陽平,n,ie,44,陽平,ȵ,iɛi,44,陽平,0,iæn,55,陽平,ȵ,in,42,陰去
7764,k,e,35,陰平,k,ɛ̃i,31,陰平,k,iɐ,55,陰平,k,ɑ,21,陰平,k,ã,11,陰平,k/tɕ,ɛ/iɛ,33,陰平陰平
7795,x,uəŋ,42,陽平,f,ɛ̃i,44,陽平,x,əŋ,44,陽平,x,əŋ,44,陽平,x,ũɐ̆,55,陽平,x,an,42,陰去
7896,pʰ,əŋ,42,陽平,pʰ,ɑ̃,44,陽平,p,əŋ,44,陽平,pʰ,ɑŋ,44,陽平,pʰ,ɐŋ,55,陽平,pʰ,an,42,陰去
7909,tɕʰ,iŋ,35,陰平,tɕʰ,iɑ̃,31,陰平,tɬ,e,55,陰平,tʃʰ,ɛɐ̆,21,陰平,tsʰ,æ̃,11,陰平,tsʰ,ɛ,33,陰平
7981,tɕʰ,iŋ,42,陽平,tɕʰ,iɑ̃,44,陽平,tɕʰ,ie,44,陽平,tʃʰ,ɑ,44,陽平,tʂʰ,æ̃,55,陽平,tɕʰ,iɛ,42,陰去
7987,ɕ,iŋ,35,陰平,ɕ,iɑ̃,31,陰平,ɕ,ie,55,陰平,ʃ,ɑ,21,陰平,ɕ,iæ̃,11,陰平,ɕ,iɛ,33,陰平
7995,tɕ,iŋ,35,陰平,tɕ,iɑ̃,31,陰平,tɕ,ie,55,陰平,tʃ,ɑ,21,陰平,tʂ,æ̃,11,陰平,tɕ,iɛ,33,陰平
8001,tɕʰ,iŋ,35,陰平,tɕʰ,iɑ̃,31,陰平,tɕʰ,ie,55,陰平,tʃʰ,ɛɐ̆,21,陰平,tɕʰ,ĩɐ̆,11,陰平,tɕʰ,iɛ,33,陰平
8051,tɕ,iŋ,35,陰平,tɕ,iɑ̃,31,陰平,tɕ,ie,55,陰平,tʃ,ɛɐ̆,21,陰平,tɕ,ĩɐ̆,11,陰平,tɕ,iɛ,33,陰平
8104,ɕ,iŋ,35,陰平,ɕ,iɑ̃,31,陰平,ɬ,e,55,陰平,ʃ,ɛɐ̆,21,陰平,s,æ̃,11,陰平,s,ɛ,33,陰平
8105,ɕ,iŋ,35,陰平,ɕ,iɑ̃,31,陰平,ɬ,e,55,陰平,ʃ,ɛɐ̆,21,陰平,s,æ̃,11,陰平,s,ɛ,33,陰平
8124,l,iŋ,42,陽平,n,iɑ̃,44,陽平,l,e,44,陽平,l,ɛɐ̆,44,陽平,n,æ̃,55,陽平,l,ɛ,42,陰去
8125,l,iŋ,42,陽平,n,iɑ̃,44,陽平,l,e,44,陽平,l,ɛɐ̆,44,陽平,n,æ̃,55,陽平,l,ɛ,42,陰去
8126,l,iŋ,42,陽平,n,iɑ̃,44,陽平,l,e,44,陽平,l,ɛɐ̆,44,陽平,n,æ̃,55,陽平,l,ɛ,42,陰去
8224,tʰ,iŋ,213,上聲,tʰ,iɑ̃,35,陰去,tʰ,e,53,陰去,tʰ,ɛɐ̆,324,陰去,tʰ,æ̃,213,陰去,tʰ,ɛ,42,陰去
8249,pʰ,iŋ,42,陽平,pʰ,iɑ̃,44,陽平,p,e,44,陽平,p,ɛi,44,陽平,pʰ,æn,55,陽平,p,ɛ,42,陰去
8250,pʰ,iŋ,42,陽平,pʰ,iɑ̃,44,陽平,p,e,44,陽平,p,ɛi,44,陽平,pʰ,æn,55,陽平,p,ɛ,42,陰去
8278,tɕ,iŋ,35,陰平,tɕ,iɑ̃,31,陰平,tɕ,ie,55,陰平,ts,ɿ,21,陰平,tʂ,æ̃,11,陰平,tɕ,ian,33,陰平
8279,tɕ,iŋ,35,陰平,tɕ,iɑ̃,31,陰平,tɕ,ie,55,陰平,ts,ɿ,21,陰平,tʂ,æ̃,11,陰平,tɕ,ian,33,陰平
8280,tɕ,iŋ,35,陰平,tɕ,iɑ̃,31,陰平,tɕ,ie,55,陰平,ts,ɿ,21,陰平,tʂ,æ̃,11,陰平,tɕ,ian,33,陰平
8299,l,iŋ,42,陽平,n,iɑ̃,44,陽平,l,e,44,陽平,l,ɛi,44,陽平,n,æn,55,陽平,l,in,42,陰去
8300,l,iŋ,42,陽平,n,iɑ̃,44,陽平,l,e,44,陽平,l,ɛi,44,陽平,n,æn,55,陽平,l,in,42,陰去
8301,l,iŋ,42,陽平,n,iɑ̃,44,陽平,l,e,44,陽平,l,ɛi,44,陽平,n,æn,55,陽平,l,in,42,陰去
8314,0,iŋ,35,陰平,0,iɑ̃,31,陰平,0,ie,55,陰平,0,iɛɐ̆,21,陰平,0,iæn,11,陰平,0,an,33,陰平
8317,pʰ,iŋ,42,陽平,pʰ,iɑ̃,44,陽平,pʰ,e,44,陽平,pʰ,ɛɐ̆,44,陽平,pʰ,æn,55,陽平,pʰ,ɛ,42,陰去
8320,p,iŋ,35,陰平,p,iɑ̃,31,陰平,p,e,55,陰平,p,ɛɐ̆,21,陰平,p,æ̃,11,陰平,p,ɛ,33,陰平
8321,p,iŋ,35,陰平,p,iɑ̃,31,陰平,p,e,55,陰平,p,ɛɐ̆,21,陰平,p,æ̃,11,陰平,p,ɛ,33,陰平
8336,ɕ,iŋ,35,陰平,ɕ,iɑ̃,31,陰平,ɕ,ie,55,陰平,s,ɿ,21,陰平,ɕ,iæn,11,陰平,ɕ,ian,33,陰平
8337,ɕ,iŋ,35,陰平,ɕ,iɑ̃,31,陰平,ɕ,ie,55,陰平,s,ɿ,21,陰平,ɕ,iæn,11,陰平,ɕ,ian,33,陰平
8395,ts,e,35,陰平,ts,ɑ̃,31,陰平,tɬ,ɐ,55,陰平,tʃ,iɛɐ̆,21,陰平,ts,æ̃,11,陰平,ts,ɛ,33,陰平
