# 平話
id,寧遠(清水橋)_聲母,寧遠(清水橋)_韻母,寧遠(清水橋)_調值,寧遠(清水橋)_調類,龍勝(紅瑤)_聲母,龍勝(紅瑤)_韻母,龍勝(紅瑤)_調值,龍勝(紅瑤)_調類,靈川(三街)_聲母,靈川(三街)_韻母,靈川(三街)_調值,靈川(三街)_調類,靈川(潭下)_聲母,靈川(潭下)_韻母,靈川(潭下)_調值,靈川(潭下)_調類,桂林(朝陽)_聲母,桂林(朝陽)_韻母,桂林(朝陽)_調值,桂林(朝陽)_調類,桂林(雁山竹園)_聲母,桂林(雁山竹園)_韻母,桂林(雁山竹園)_調值,桂林(雁山竹園)_調類,臨桂(兩江)_聲母,臨桂(兩江)_韻母,臨桂(兩江)_調值,臨桂(兩江)_調類,永福(桃城)_聲母,永福(桃城)_韻母,永福(桃城)_調值,永福(桃城)_調類,陽朔(驥馬)_聲母,陽朔(驥馬)_韻母,陽朔(驥馬)_調值,陽朔(驥馬)_調類,臨桂(五通)_聲母,臨桂(五通)_韻母,臨桂(五通)_調值,臨桂(五通)_調類,融水(融水鎮)_聲母,融水(融水鎮)_韻母,融水(融水鎮)_調值,融水(融水鎮)_調類,平樂(青龍)_聲母,平樂(青龍)_韻母,平樂(青龍)_調值,平樂(青龍)_調類,富寧(剝隘)_聲母,富寧(剝隘)_韻母,富寧(剝隘)_調值,富寧(剝隘)_調類,百色(那畢)(平話音韻研究)_聲母,百色(那畢)(平話音韻研究)_韻母,百色(那畢)(平話音韻研究)_調值,百色(那畢)(平話音韻研究)_調類,馬山(喬利)_聲母,馬山(喬利)_韻母,馬山(喬利)_調值,馬山(喬利)_調類,田東(林逢)_聲母,田東(林逢)_韻母,田東(林逢)_調值,田東(林逢)_調類,賓陽(蘆墟)_聲母,賓陽(蘆墟)_韻母,賓陽(蘆墟)_調值,賓陽(蘆墟)_調類,南寧(亭子)_聲母,南寧(亭子)_韻母,南寧(亭子)_調值,南寧(亭子)_調類,橫縣(橫州)_聲母,橫縣(橫州)_韻母,橫縣(橫州)_調值,橫縣(橫州)_調類,扶綏(龍頭)_聲母,扶綏(龍頭)_韻母,扶綏(龍頭)_調值,扶綏(龍頭)_調類,龍州(上龍)_聲母,龍州(上龍)_韻母,龍州(上龍)_調值,龍州(上龍)_調類,藤縣(藤城)_聲母,藤縣(藤城)_韻母,藤縣(藤城)_調值,藤縣(藤城)_調類,鬱林(福綿)_聲母,鬱林(福綿)_韻母,鬱林(福綿)_調值,鬱林(福綿)_調類
1776,l,i,22,陽入,l,i,24,陽平,n,i,533,陽平,n,i,33,陽平,l,i,22,陽平,l,i,44,陽平,l,i,31,陽去,l,ei,23,陽平,l,i,22,陽平,l,i,13,陽去,l,i,21,陽平,l,i,31,陽平,l,øi,31,陽平,l,øi,42,陽平,l,ei,41,陽平,l,øi,41,陽平,l,ei,213,陽平,l,i,21,陽平,l,i,25,陽平,l,ei,21,陽平,l,øi,31,陽平,l,i,212,陽平,l,i,31,陽平
1777,l,i,22,陽入,l,i,24,陽平,n,i,533,陽平,n,i,33,陽平,l,i,22,陽平,l,i,44,陽平,l,i,31,陽去,l,ei,23,陽平,l,i,22,陽平,l,i,13,陽去,l,i,21,陽平,l,i,31,陽平,l,øi,31,陽平,l,øi,42,陽平,l,ei,41,陽平,l,øi,41,陽平,l,ei,213,陽平,l,i,21,陽平,l,i,25,陽平,l,ei,21,陽平,l,øi,31,陽平,l,i,212,陽平,l,i,31,陽平
1801,,,,,ts,i,33,陰平,n,iou,13,陰平,tsʰ,ɿ,33,陽平,ts,ɿ,43,陰平,ts,ɿ,55,陰平,0,i,35,陰平,ts,ɿ,33,陽平,ts,i,33,陰平,tɕ,i,35,陰平,tɕ,i,435,陰去,,,,,,,,,ts,i,54,陰平,ts,i,55,陰平,ts,i,22,陽去,,,,,tɕ,i,55,陰去,ts,i,55,陰平,ts,i,53,陰平,,,,,,,,,t,i,54,陰平
1812,s,ɿ,33,上聲,s,i,33,陰平,ɕ,i,33,上聲,x,i,33,陽平,s,i,43,陰平,s,i,55,陰平,h,i,33,上聲,x,i,35,陰平,s,i,33,陰平,h,i,35,陰平,ɕ,i,53,陰平,kʰ,i,53,陰平,h,øi,44,陰平,h,øi,54,陰平,h,ei,55,陰平,h,øi,54,陰平,,,,,h,i,41,陰平,h,i,55,陰平,h,ei,53,陰平,kʰ,øi,55,陰平,h,i,434,陰去,h,i,54,陰平
1813,,,,,s,i,33,陰平,ɕ,i,33,上聲,x,i,24,陰平,s,i,43,陰平,s,i,33,陰上,h,i,33,上聲,x,i,35,陰平,s,i,33,陰平,h,i,35,陰平,ɕ,i,53,陰平,h,i,45,陰上,h,øi,44,陰平,h,øi,54,陰平,,,,,h,øi,54,陰平,,,,,h,i,41,陰平,h,i,55,陰平,h,ei,53,陰平,h,øi,33,陰上,h,i,53,陰平,h,i,54,陰平
1825,z,i,33,上聲,0,i,33,陰平,0,i,13,陰平,0,i,24,陰平,0,i,43,陰平,0,i,55,陰平,0,i,35,陰平,0,i,35,陰平,0,i,33,陰平,0,i,35,陰平,0,i,53,陰平,0,i,53,陰平,ʔ,øi,44,陰平,0,øi,54,陰平,ʔ,ei,55,陰平,ʔ,øi,54,陰平,0,ei,34,陰平,,i,41,陰平,ʔ,i,55,陰平,0,ei,53,陰平,ʔ,øi,55,陰平,0,i,53,陰平,ʔ,i,54,陰平
1826,z,i,33,上聲,0,i,33,陰平,0,i,13,陰平,0,i,24,陰平,0,i,43,陰平,0,i,55,陰平,0,i,35,陰平,0,i,35,陰平,0,i,33,陰平,0,i,35,陰平,0,i,53,陰平,0,i,53,陰平,ʔ,øi,44,陰平,0,øi,54,陰平,ʔ,ei,55,陰平,ʔ,øi,54,陰平,0,ei,34,陰平,,i,41,陰平,ʔ,i,55,陰平,0,ei,53,陰平,ʔ,øi,55,陰平,0,i,53,陰平,ʔ,i,54,陰平
1831,tsʰ,ɿ,13,陰入,tsʰ,i,33,陰平,n,i,533,陽平,tsʰ,i,33,陽平,tsʰ,i,43,陰平,ts,ɿ,55,陰平,tɕ,i,33,上聲,tsʰ,ei,35,陰平,tsʰ,i,33,陰平,tɕʰ,i,35,陰平,tɕʰ,i,53,陰平,0,ŋ,35,陽去,tsʰ,i,44,陰平,tsʰ,i,42,陽平,tsʰ,i,55,陰平,tsʰ,i,54,陰平,tsʰ,i,34,陰平,,,,,tsʰ,i,55,陰平,tsʰ,i,53,陰平,tsʰ,i,55,陰平,tɕʰ,i,53,陰平,tɕʰ,i,54,陰平
1834,tsʰ,ɿ,13,陰入,tsʰ,i,33,陰平,n,i,533,陽平,tsʰ,i,33,陽平,tsʰ,i,43,陰平,ts,ɿ,55,陰平,tɕ,i,33,上聲,tsʰ,ei,35,陰平,tsʰ,i,33,陰平,tɕʰ,i,35,陰平,tɕʰ,i,53,陰平,0,ŋ,35,陽去,tsʰ,i,44,陰平,tsʰ,i,42,陽平,tsʰ,i,55,陰平,tsʰ,i,54,陰平,tsʰ,i,34,陰平,,,,,tsʰ,i,55,陰平,tsʰ,i,53,陰平,tsʰ,i,55,陰平,tɕʰ,i,53,陰平,tɕʰ,i,54,陰平
1836,tsʰ,ɿ,21,陽去,ts,i,24,陽平,tsʰ,ɿ,533,陽平,tsʰ,ɿ,21,陽上,ts,ɿ,22,陽平,ts,ɿ,44,陽平,tɕʰ,i,31,陽去,tsʰ,ei,23,陽平,ts,i,22,陽平,tɕ,i,21,陽平,tɕ,i,21,陽平,tɕʰ,i,31,陽平,tsʰ,i,31,陽平,ts,i,42,陽平,s,i,41,陽平,ts,i,41,陽平,ts,ɭ i,213,陽平,tɕ,i,21,陽平,tsʰ,i,55,陰平,ts,i,21,陽平,s,i,31,陽平,ɕ,i,212,陽平,tɕ,i,31,陽平
1839,,,,,tsʰ,i,33,陰平,0,i,533,陽平,tsʰ,ɿ,35,陰去,tsʰ,ɿ,43,陰平,tsʰ,ɿ,53,去聲,tɕ,i,33,上聲,tsʰ,ɿ,35,陰平,tsʰ,i,33,陰平,tɕʰ,i,35,陰平,tɕʰ,i,55,陰上,tɕʰ,y,45,陰上,tsʰ,i,33,陰上,tsʰ,i,33,陰上,tsʰ,i,33,陰上,tsʰ,i,54,陰平,tsʰ,i,33,陰上,tɕʰ,y,41,陰平,tsʰ,i,55,陰平,tsʰ,i,53,陰平,,,,,,,,,tɕʰ,i,54,陰平
1845,ts,ɿ,21,陽去,ts,i,24,陽平,ts,ɿ,533,陽平,tsʰ,ɿ,21,陽上,ts,i,22,陽平,ts,ɿ,44,陽平,tsʰ,i,31,陽去,ts,ei,23,陽平,ts,ei,22,陽平,ts,Ei,21,陽平,ts,i,21,陽平,tsʰ,ɿ,31,陽平,tsʰ,i,31,陽平,ts,i,42,陽平,ts,i,41,陽平,ts,i,41,陽平,ts,ɭ i,213,陽平,tɕ,i,21,陽平,tsʰ,i,25,陽平,ts,i,21,陽平,ts,ɿ,31,陽平,ɬ,i,212,陽平,t,i,31,陽平
1846,ts,ɿ,21,陽去,ts,i,24,陽平,ts,ɿ,533,陽平,tsʰ,ɿ,21,陽上,ts,i,22,陽平,ts,ɿ,44,陽平,tsʰ,i,31,陽去,ts,ei,23,陽平,ts,ei,22,陽平,ts,Ei,21,陽平,ts,i,21,陽平,tsʰ,ɿ,31,陽平,s,ip,33,下陰入,ts,i,42,陽平,ts,i,41,陽平,s/ts,ip/i,33/41,陰上/陽平,ts,ɭ i,213,陽平,tɕ,i,21,陽平,tsʰ,i,25,陽去,ts,i,21,陽平,ts,ɿ,31,陽平,ɬ,i,212,陽平,t,i,31,陽平
1849,ts,ɿ,33,上聲,ts,i,33,陰平,ts,ɿ,13,陰平,ts,ɿ,33,陽平,ts,i,43,陰平,ts,ɿ,55,陰平,ts,ai,35,陰平,ts,ɿ,35,陰平,ts,i,33,陰平,ts,Ei,35,陰平,ts,i,21,陽平,,,,,tsʰ,i,31,陽平,ts,i,54,陰平,ts,i,41,陽平,ts,i,41,陽平,,,,,tɕ,i,41,陰平,ts,i,55,陰平,ts,i,53,陰平,s,ɿ,31,陽平,t,i,53,陰平,t,i,54,陰平
1850,ts,ɿ,33,上聲,ts,i,33,陰平,ts,ɿ,13,陰平,ts,ɿ,33,陽平,ts,i,43,陰平,ts,ɿ,55,陰平,ts,ai,35,陰平,ts,ɿ,35,陰平,ts,i,33,陰平,ts,Ei,35,陰平,ts,i,21,陽平,,,,,tsʰ,i,31,陽平,ts,i,54,陰平,ts,i,41,陽平,ts,i,41,陽平,,,,,tɕ,i,41,陰平,ts,i,55,陰平,ts,i,53,陰平,s,ɿ,31,陽平,t,i,53,陰平,t,i,54,陰平
1854,ts,ɿ,33,上聲,ts,i,33,陰平,ts,ɿ,13,陰平,ts,ɿ,33,陽平,ts,i,43,陰平,ts,ɿ,55,陰平,ts,ɿ,33,上聲,ts,ɿ,35,陰平,ts,i,33,陰平,ts,Ei,35,陰平,ts,i,21,陽平,,,,,tsʰ,i,31,陽平,ts,i,54,陰平,ts,i,41,陽平,ts,i,41,陽平,ts,ei,34,陰平,tɕ,i,41,陰平,ts,i,55,陰平,ts,i,53,陰平,s,ɿ,31,陽平,t,i,53,陰平,t,i,54,陰平
1868,v,uɯ,35,平聲,m,i,24,陽平,,uei,533,陽平,0,uei,21,陽上,0,uɛi,22,陽平,m,i,44,陽平,ʋ,ai,12,陽平,0,uei,23,陽平,m,i,22,陽平,,uEi,21,陽平,w,i,21,陽平,,,,,w,Ei,31,陽平,m,øi,42,陽平,f,ei,41,陽平,,uøi,54,陰平,f,ɭ i,213,陽平,m,i,21,陽平,m,i,25,陽平,m,øi,21,陽平,w,øi,55,陰平,m,i,212,陽平,m,i,31,陽平
1876,f,ɯ,35,平聲,f,i,33,陰平,f,ei,13,陰平,f,ei,24,陰平,h,uɛi,43,陰平,f,i,55,陰平,h,uei,33,上聲,x,uei,35,陰平,0,uæ̃,33,陰平,f,øi,35,陰平,f,øi,53,陰平,f,i,53,陰平,w,Ei,44,陰平,ʋ,øi,54,陰平,,uei,55,陰平,,uøi,54,陰平,ʋ,ei,34,陰平,kʰʷ,Ei,41,陰平,ʋ,Ei,55,陰平,kʰʷ,ei,53,陰平,kʰ,øi,55,陰平,kʰʷ,Ei,53,陰平,kʰʷ,Ei,54,陰平
1877,f,ɯ,35,平聲,0,uɐi,33,陰平,f,ei,13,陰平,f,ei,33,陽平,h,uɛi,43,陰平,f,i,55,陰平,h,uei,33,上聲,f,ei,35,陰平,f,uei,33,陰平,f,øi,35,陰平,f,øi,53,陰平,f,oi,53,陰平,h,œi,44,陰平,kʰ,øi,54,陰平,,uei,55,陰平,kʰ,øi,54,陰平,h,u,34,陰平,kʰʷ,Ei,41,陰平,ʋ,Ei,55,陰平,kʰʷ,ei,53,陰平,kʰ,øi,55,陰平,kʰʷ,Ei,53,陰平,kʰʷ,ai,54,陰平
1878,f,ɯ,35,平聲,0,uɐi,33,陰平,f,ei,13,陰平,f,ei,33,陽平,h,uɛi,43,陰平,f,i,55,陰平,h,uei,33,上聲,f,ei,35,陰平,f,uei,33,陰平,f,øi,35,陰平,f,øi,53,陰平,f,oi,53,陰平,h,œi,44,陰平,kʰ,øi,54,陰平,,uei,55,陰平,kʰ,øi,54,陰平,h,u,34,陰平,kʰʷ,Ei,41,陰平,ʋ,Ei,55,陰平,kʰʷ,ei,53,陰平,kʰ,øi,55,陰平,kʰʷ,Ei,53,陰平,kʰʷ,ai,54,陰平
1880,f,ɯ,35,平聲,0,uɐi,33,陰平,f,ei,13,陰平,f,ei,33,陽平,h,uɛi,43,陰平,f,i,55,陰平,h,uei,33,上聲,f,y,35,陰平,f,uei,33,陰平,f,øi,35,陰平,f,øi,53,陰平,f,oi,53,陰平,h,œi,44,陰平,h,œi,54,陰平,,uei,55,陰平,,uøi,54,陰平,h,u,34,陰平,kʰʷ,Ei,41,陰平,ʋ,Ei,55,陰平,h,œi,53,陰平,f,øi,55,陰平,f,oi,53,陰平,,uøi,54,陰平
1893,v,uɯ,35,平聲,0,ui,24,陽平,,uei,533,陽平,0,uei,33,陽平,0,uɛi,22,陽平,0,uæ,44,陽平,ʋ,ai,12,陽平,0,uei,23,陽平,0,uei,22,陽平,,uEi,21,陽平,w,ye,21,陽平,w,a,31,陽平,w,Ei,31,陽平,ʋ,øi,42,陽平,,,,,,uøi,22,陽去,ʋ,ei,213,陽平,v,Ei,21,陽平,ʋ,Ei,25,陽平,,uei,21,陽平,w,øi,31,陽平,w,Ei,22,陽去,v,ai,31,陽平
1896,v,uɯ,21,陽去,0,uɐi,24,陽平,,uei,533,陽平,0,uei,21,陽上,0,uɛi,22,陽平,0,uæ,44,陽平,,,,,0,uei,23,陽平,0,uei,22,陽平,,uEi,21,陽平,w,ye,21,陽平,w,a,31,陽平,w,Ei,31,陽平,ʋ,øi,42,陽平,,uei,41,陽平,,uøi,22,陽去,ʋ,ei,213,陽平,v,Ei,21,陽平,ʋ,Ei,25,陽平,,uei,21,陽平,w,øi,21,陽去,w,Ei,212,陽平,v,ai,21,陽去
1906,f,oi,33,上聲,f,i,33,陰平,f,ei,13,陰平,f,ei,35,陰去,f,ɛi,35,陰去,f,ei,55,陰平,f,ei,33,上聲,f,ei,35,陰平,f,ei,33,陰平,f,E,35,陰平,f,i,53,陰平,,,,,f,Ei,44,陰平,f,øi,54,陰平,,,,,f,øi,54,陰平,f,ɭ i,55,陰去,f,i,41,陰平,f,i,55,陰平,f,øi,53,陰平,f,øi,35,陰去,k,i,53,陰平,f,i,54,陰平
1914,p,a,35,平聲,f,i,33,陰平,f,ei,13,陰平,f,ei,24,陰平,f,ɛi,43,陰平,f,i,55,陰平,f,ai,51,陰去,f,ei,35,陰平,f,ei,33,陰平,f,Ei,35,陰平,f,i,53,陰平,f,i,53,陰平,f,Ei,44,陰平,f,øi,54,陰平,f,ei,55,陰平,f,øi,54,陰平,f,ɭ i,34,陰平,f,i,41,陰平,f,i,55,陰平,f,øi,53,陰平,f,øi,55,陰平,f,i,53,陰平,f,i,54,陰平
1918,f,oi,33,上聲,f,i,33,陰平,f,ei,13,陰平,f,ei,33,陽平,f,ɛi,43,陰平,f,i,55,陰平,f,ai,35,陰平,f,ei,35,陰平,f,ei,33,陰平,f,Ei,35,陰平,f,i,53,陰平,f,i,53,陰平,f,Ei,44,陰平,f,øi,54,陰平,f,ei,55,陰平,f,øi,54,陰平,f,ɭ i,34,陰平,f,i,41,陰平,f,i,53,陰去,f,øi,53,陰平,f,øi,55,陰平,f,i,53,陰平,f,i,54,陰平
1925,n,a,13,陰入,f,i,24,陽平,f,ei,533,陽平,f,ei,33,陽平,f,ɛi,22,陽平,f,æ,44,陽平,f,ai,12,陽平,f,ei,23,陽平,f,ei,22,陽平,f,uEi,21,陽平,f,i,21,陽平,p,i,31,陽平,f,Ei,31,陽平,f,øi,42,陽平,f,ei,41,陽平,f,øi,41,陽平,f,ɭ i,213,陽平,f,i,21,陽平,f,i,25,陽平,f,øi,21,陽平,f,øi,31,陽平,f,i,212,陽平,f,i,31,陽平
1937,v,uɯ,35,平聲,0,ui,33,陰平,,uei,13,陰平,0,uei,35,陰去,0,uɛi,43,陰平,0,uæ,55,陰平,ʋ,ei,33,上聲,0,uei,35,陰平,0,uæ̃,33,陰平,,uEi,35,陰平,w,ye,53,陰平,w,ai,53,陰平,w,Ei,44,陰平,ʋ,øi,54,陰平,,uei,55,陰平,,uøi,54,陰平,ʋ,ei,34,陰平,v,Ei,41,陰平,ʋ,Ei,55,陰平,,uei,53,陰平,v,Ei,55,陰平,w,Ei,53,陰平,v,ai,54,陰平
1945,,,,,k,i,24,陽平,tɕ,i,33,上聲,kʰ,i,21,陽上,ts,i,22,陽平,ts,i,44,陽平,tɕʰ,i,33,上聲,kʰ,i,23,陽平,k,i,22,陽平,h,i,33,陰去,k,i,21,陽平,,,,,k,øi,31,陽平,k,i,42,陽平,,,,,k,i,41,陽平,k,ɭ i,213,陽平,k,i,21,陽平,kʰ,i,25,陽平,k,ei,21,陽平,k,øi,55,陰平,kʰ,i,212,陽平,k,i,31,陽平
1965,ts,ɿ,33,上聲,k,i,33,陰平,tɕ,i,33,上聲,k,i,24,陰平,ts,i,43,陰平,k,e,55,陰平,k,i,33,上聲,k,ie,35,陰平,k,i,33,陰平,tɕ,i,35,陰平,k,i,53,陰平,k,i,33,陽上,k,øi,44,陰平,k,øi,54,陰平,k,ei,55,陰平,k,øi,54,陰平,k,ɭ i,34,陰平,k,i,41,陰平,k,i,55,陰平,k,ei,53,陰平,k,øi,55,陰平,k,i,53,陰平,k,i,54,陰平
1966,ts,ɿ,33,上聲,k,i,33,陰平,tɕ,i,33,上聲,k,i,24,陰平,ts,i,43,陰平,ts,i,55,陰平,k,i,33,上聲,k,ie,35,陰平,k,i,33,陰平,tɕ,i,35,陰平,k,i,53,陰平,k,i,33,陽上,h,øi,44,陰平,k,øi,54,陰平,kʰ,ei,55,陰平,k,øi,33,陰上,k,ɭ i,34,陰平,k,i,41,陰平,k,i,55,陰平,k,ei,53,陰平,k,øi,55,陰平,k,i,53,陰平,k,i,54,陰平
1972,ts,ɿ,33,上聲,k,i,33,陰平,tɕ,i,33,上聲,k,i,24,陰平,ts,i,43,陰平,ts,i,55,陰平,k,i,33,上聲,k,ie,35,陰平,k,iɛ,33,陰平,tɕ,i,35,陰平,k,i,53,陰平,k,i,33,陽上,k,øi,44,陰平,k,øi,54,陰平,k,ei,55,陰平,k,øi,54,陰平,k,ɭ i,34,陰平,k,i,41,陰平,k,i,55,陰平,k,ei,53,陰平,k,øi,35,陰去,k,i,53,陰平,k,i,54,陰平
1974,ts,ɿ,33,上聲,k,i,33,陰平,tɕ,i,33,上聲,k,i,33,陽平,ts,i,23,上聲,ts,i,33,陰上,k,i,33,上聲,k,i,33,上聲,k,i,33,陰平,tɕ,i,554,上聲,k,i,55,陰上,k,i,53,陰平,ts,i,44,陰平,k,øi,33,陰上,k,ei,33,陰上,k,øi,33,陰上,k,ɭ i,34,陰平,k,i,41,陰平,k,i,33,陰上,k,ei,53,陰平,k,øi,55,陰平,k,i,53,陰平,k,i,54,陰平
1981,,,,,s,i,33,陰平,ɕ,i,13,陰平,x,i,24,陰平,s,i,43,陰平,s,i,55,陰平,h,i,33,上聲,s,i,35,陰平,s,i,33,陰平,h,i,35,陰平,ɕ,i,53,陰平,ɕ,i,53,陰平,h,øi,44,陰平,h,øi,54,陰平,h,ei,55,陰平,h,øi,54,陰平,h,ɭ i,34,陰平,h,i,21,陰平,h,i,55,陰平,h,ei,53,陰平,h,øi,55,陰平,h,i,53,陰平,h,i,54,陰平
1986,s,ɿ,35,平聲,s,i,33,陰平,ɕ,i,13,陰平,x,i,24,陰平,s,i,43,陰平,s,i,55,陰平,h,i,33,上聲,s,i,35,陰平,s,i,33,陰平,h,i,35,陰平,ɕ,i,53,陰平,ɕ,i,53,陰平,h,øi,44,陰平,h,øi,54,陰平,h,ei,55,陰平,h,øi,54,陰平,h,ɭ i,34,陰平,h,i,41,陰平,h,i,55,陰平,h,ei,53,陰平,h,øi,55,陰平,h,i,53,陰平,h,i,54,陰平
1993,0,ia,35,平聲,0,i,33,陰平,0,i,13,陰平,0,i,24,陰平,0,i,43,陰平,0,i,55,陰平,0,i,35,陰平,0,i,35,陰平,0,i,33,陰平,0,i,35,陰平,0,i,53,陰平,,,,,ʔ,øi,44,陰平,0,øi,54,陰平,ʔ,ei,55,陰平,ʔ,øi,54,陰平,0,ei,34,陰平,,i,41,陰平,ʔ,i,55,陰平,0,ei,53,陰平,ʔ,øi,55,陰平,ʔ,i,53,陰平,ʔ,i,54,陰平
1995,0,ia,35,平聲,0,i,33,陰平,0,i,13,陰平,0,i,24,陰平,0,i,43,陰平,0,i,55,陰平,0/0,i/i,35/51,陰平/陽去,0,i,35,陰平,0,i,33,陰平,0,i,35,陰平,0,i,53,陰平,0,i,53,陰平,ʔ,øi,44,陰平,0,øi,54,陰平,ʔ,ei,55,陰平,ʔ,øi,54,陰平,0,ei,34,陰平,,i,41,陰平,ʔ,i,55,陰平,0,ei,53,陰平,ʔ,øi,55,陰平,ʔ,i,53,陰平,ʔ,i,54,陰平
2001,,,,,,,,,0,i,533,陽平,,,,,,,,,,,,,,,,,,,,,,,,,0,i,21,陽平,k,i,21,陽平,,,,,,,,,,,,,,,,,h,øi,41,陽平,,,,,k,i,41,陽平,kʰ,i,25,陽平,k,ei,21,陽平,,,,,kʰ,i,212,陽平,k,i,31,陽平
