# 閩語
id,南安(溪美鎮)_聲母,南安(溪美鎮)_韻母,南安(溪美鎮)_調值,南安(溪美鎮)_調類,漳州_聲母,漳州_韻母,漳州_調值,漳州_調類,廈門_聲母,廈門_韻母,廈門_調值,廈門_調類,漳浦_聲母,漳浦_韻母,漳浦_調值,漳浦_調類,大田_聲母,大田_韻母,大田_調值,大田_調類,大田(前路話)_聲母,大田(前路話)_韻母,大田(前路話)_調值,大田(前路話)_調類,潮州(府城話)_聲母,潮州(府城話)_韻母,潮州(府城話)_調值,潮州(府城話)_調類,潮州(漢語方音字匯)_聲母,潮州(漢語方音字匯)_韻母,潮州(漢語方音字匯)_調值,潮州(漢語方音字匯)_調類,揭陽(榕城話)_聲母,揭陽(榕城話)_韻母,揭陽(榕城話)_調值,揭陽(榕城話)_調類,澄海_聲母,澄海_韻母,澄海_調值,澄海_調類,汕頭(汕頭市區)_聲母,汕頭(汕頭市區)_韻母,汕頭(汕頭市區)_調值,汕頭(汕頭市區)_調類,海豐(海城鎮)_聲母,海豐(海城鎮)_韻母,海豐(海城鎮)_調值,海豐(海城鎮)_調類,陸豐(內湖鎮)_聲母,陸豐(內湖鎮)_韻母,陸豐(內湖鎮)_調值,陸豐(內湖鎮)_調類,大埔元洲仔(香港新界福佬話)_聲母,大埔元洲仔(香港新界福佬話)_韻母,大埔元洲仔(香港新界福佬話)_調值,大埔元洲仔(香港新界福佬話)_調類,電白(霞洞鎮黎話)_聲母,電白(霞洞鎮黎話)_韻母,電白(霞洞鎮黎話)_調值,電白(霞洞鎮黎話)_調類,海康(雷城話)_聲母,海康(雷城話)_韻母,海康(雷城話)_調值,海康(雷城話)_調類,仙游(城關話)_聲母,仙游(城關話)_韻母,仙游(城關話)_調值,仙游(城關話)_調類,莆田_聲母,莆田_韻母,莆田_調值,莆田_調類,古田_聲母,古田_韻母,古田_調值,古田_調類,馬祖_聲母,馬祖_韻母,馬祖_調值,馬祖_調類,福州_聲母,福州_韻母,福州_調值,福州_調類,福清_聲母,福清_韻母,福清_調值,福清_調類,柘榮_聲母,柘榮_韻母,柘榮_調值,柘榮_調類,福安_聲母,福安_韻母,福安_調值,福安_調類,寧德_聲母,寧德_韻母,寧德_調值,寧德_調類,崇安(崇城鎮城關話)_聲母,崇安(崇城鎮城關話)_韻母,崇安(崇城鎮城關話)_調值,崇安(崇城鎮城關話)_調類,石陂_聲母,石陂_韻母,石陂_調值,石陂_調類,建陽(潭城鎮城關話)_聲母,建陽(潭城鎮城關話)_韻母,建陽(潭城鎮城關話)_調值,建陽(潭城鎮城關話)_調類,松溪_聲母,松溪_韻母,松溪_調值,松溪_調類,建甌_聲母,建甌_韻母,建甌_調值,建甌_調類,建甌(市志)_聲母,建甌(市志)_韻母,建甌(市志)_調值,建甌(市志)_調類,沙縣(城關話)_聲母,沙縣(城關話)_韻母,沙縣(城關話)_調值,沙縣(城關話)_調類,明溪(城關話)_聲母,明溪(城關話)_韻母,明溪(城關話)_調值,明溪(城關話)_調類,三明(三元話)_聲母,三明(三元話)_韻母,三明(三元話)_調值,三明(三元話)_調類,平南(上渡雅埠)(廣西漢語方言)_聲母,平南(上渡雅埠)(廣西漢語方言)_韻母,平南(上渡雅埠)(廣西漢語方言)_調值,平南(上渡雅埠)(廣西漢語方言)_調類,中山(隆都)(珠江三角洲)_聲母,中山(隆都)(珠江三角洲)_韻母,中山(隆都)(珠江三角洲)_調值,中山(隆都)(珠江三角洲)_調類,中山(隆都)(廣東閩方言)_聲母,中山(隆都)(廣東閩方言)_韻母,中山(隆都)(廣東閩方言)_調值,中山(隆都)(廣東閩方言)_調類,中山(三鄉)_聲母,中山(三鄉)_韻母,中山(三鄉)_調值,中山(三鄉)_調類,曼谷(潮州話)_聲母,曼谷(潮州話)_韻母,曼谷(潮州話)_調值,曼谷(潮州話)_調類,將樂(城關話)_聲母,將樂(城關話)_韻母,將樂(城關話)_調值,將樂(城關話)_調類,晉江(青陽鎮)_聲母,晉江(青陽鎮)_韻母,晉江(青陽鎮)_調值,晉江(青陽鎮)_調類
28,t,aŋ,24,陽平,t,aŋ,13,陽平,t,aŋ/ɔŋ,24,陽平,t,aŋ,213,陽平,t,aŋ,24,陽平,t,aŋ,24,陽平,t,aŋ,55,陽平,t,aŋ,55,陽平,t,aŋ,55,陽平,t,aŋ,55,陽平,t,aŋ,55,陽平,t,aŋ,55,陽平,t,oŋ/aŋ,24,陽平,t,aŋ,44,陽平,t,aŋ,11,陽平,t,aŋ,11,陽平,t,aŋ/ɒŋ,24,陽平,t,aŋ/ɒŋ,13,陽平,,,,,,,,,t,uŋ/øyŋ,52,陽平,t,øŋ/uŋ,55,陽平,t,œŋ,21,陽平,t,œŋ,22,陽平,t,œŋ,22,陽平,t,əŋ,33,陽平,d/t,əŋ,42/33,陽平/陰去,t,oŋ,334,陽平,t,oŋ,44,陽平甲,t,ɔŋ,22,陰去,t,ɔŋ,33,陰去,t,ɔuŋ,31,陽平,,,,,t,ã,41,陽平,t,aŋ,12,陽平,t/tʰ,ɛŋ/oŋ,33/31,陽平/陽去,t,eŋ,33,陽平,t,aŋ,55,陽平,tʰ,aŋ,55,陽平,tʰ,ɤŋ,22,陽平,,,,
29,t,ɔŋ,24,陽平,t,ɔŋ,13,陽平,t,ɔŋ,24,陽平,,,,,,,,,,,,,,,,,tʰ,oŋ,55,陽平,,,,,tʰ,oŋ,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,uŋ,33,陽平,,,,,t,uŋ,52,陽平,t,uŋ,55,陽平,t,uŋ,21,陽平,t,ouŋ,22,陽平,,,,,l,əŋ,33,陽平,d,əŋ,42,陽平,l,oŋ,334,陽平,t,oŋ,31,陽平乙,t,ɔŋ,21,上,t,ɔŋ,21,上聲,t,ɔuŋ,31,陽平,tʰ,ɤŋ,21,陽平,,,,,t,aŋ,12,陽平,tʰ,oŋ,31,陽去,,,,,,,,,tʰ,uŋ,55,陽平,tʰ,ɤŋ,22,陽平,,,,
63,t/t,iɔŋ/ŋ̩,33/33,陰平/陰平,t,aŋ/iɔŋ,44,陰平,t,aŋ/ŋ/iɔŋ,55,陰平,t,aŋ/iɔŋ,55,陰平,,,,,t,iɔ/oŋ,33,陰平,t,aŋ/oŋ,33,陰平,t,aŋ/oŋ,33,陰平,t,aŋ/oŋ,33,陰平,t,oŋ,33,陰平,t,oŋ/aŋ,33,陰平,t,ioŋ,33,陰平,t,ioŋ,33,陰平,,,,,ts,oŋ,33,陰平甲,ts,oŋ,213,陰平,t,ɒŋ/yøŋ,54,陰平,t,ɒŋ/œŋ,533,陰平,t,yŋ,55,陰平,t/t,uŋ/yŋ,55/55,陰平/陰平,t,yŋ/ouŋ,44,陰平,t,oŋ/øŋ/yŋ/uŋ,53,陰平,t,uŋ,42,陰平,t,ouŋ,332,陰平,t,ɔŋ/yŋ,44,陰平,t,əŋ,51,陰平,t,ɔŋ/ueiŋ,53,陰平,t,eiŋ,53,陰平,t,œyŋ,52,陰平,t,œyŋ/ɔŋ,54/22,平/陰去,t,œyŋ,54,陰平,t,œyŋ,33,陰平,ts,ɤŋ,33,陰平,t,am,553,陰平,t,ioŋ,33,陰平,ts,oŋ,55,陰平,t/ts,oŋ,55,陰平,t,aŋ,33,陰平,t,uŋ,33,陰平,tʃ/tʃʰ,ɤŋ,55,陰平,,,,
64,t/tʰ,iɔŋ/iɔŋ,33/33,陰平/陰平,t,iɔŋ,44,陰平,tʰ,iɔŋ,55,陰平,tʰ,iɔŋ,55,陰平,,,,,,,,,,,,,tsʰ,oŋ,33,陰平,,,,,tsʰ,oŋ,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,t,yøŋ,54,陰平,t,œŋ,533,陰平,t,yŋ,55,陰平,,,,,t,yŋ,44,陰平,t,yŋ,53,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ts,œyŋ,54,平,ts,œyŋ,54,陰平,t,œyŋ,33,陰平,ts,ɤŋ,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,tʃ/tʃʰ,ɤŋ,55,陰平,,,,
65,t,iɔŋ,33,陰平,t,iɔŋ,44,陰平,t,iɔŋ,55,陰平,t,iɔŋ,55,陰平,,,,,,,,,t,oŋ,33,陰平,t,oŋ,33,陰平,t,oŋ,33,陰平,t,oŋ,33,陰平,t,oŋ,33,陰平,t,ioŋ,33,陰平,t,ioŋ,33,陰平,,,,,ts,oŋ,33,陰平甲,ts,oŋ,213,陰平,t,yøŋ,54,陰平,t,œŋ,533,陰平,t,yŋ,55,陰平,t,yŋ,55,陰平,t,yŋ,44,陰平,t,yŋ/uŋ,53,陰平,t,uŋ,42,陰平,t,ouŋ,332,陰平,t,yŋ,44,陰平,t,əŋ,51,陰平,t,ueiŋ,53,陰平,t,eiŋ,53,陰平,t,œyŋ,52,陰平,t,œyŋ,54,平,t,œyŋ,54,陰平,t,œyŋ,33,陰平,ts,ɤŋ,33,陰平,,,,,t,ioŋ,33,陰平,ts,oŋ,55,陰平,ts,oŋ,55,陰平,ts,oŋ,55,陽平,t,uŋ,33,陰平,t,iuŋ,55,陰平,,,,
67,t/tʰ/tʰ,iɔŋ/aŋ/iɔŋ,24/24/24,陽平/陽平/陽平,tʰ/tsʰ,aŋ/iɔŋ/iŋ,13,陽平,tʰ,aŋ/iɔŋ,24,陽平,tʰ,aŋ/iɔŋ,213,陽平,,,,,tʰ,oŋ/aŋ,24,陽平,tʰ,aŋ,55,陽平,tʰ,aŋ,55,陽平,tʰ,aŋ,55,陽平,tʰ,aŋ,55,陽平,tʰ,aŋ,55,陽平,tʰ,ioŋ/aŋ,55,陽平,tʰ,aŋ,24,陽平,tʰ,aŋ,44,陽平,tʰ,aŋ,11,陽平,tʰ,aŋ,11,陽平,tʰ,aŋ/yøŋ,24,陽平,tʰ,aŋ/œŋ,13,陽平,tʰ,øyŋ/yŋ,33,陽平,tʰ,øyŋ,51,陽平,tʰ,yŋ/øyŋ,52,陽平,tʰ,uŋ,55,陽平,tʰ,œŋ,21,陽平,tʰ,œŋ/ouŋ,22,陽平,tʰ,œŋ,22,陽平,,,,,tʰ,əŋ,33,陰去,h,oŋ,334,陽平,tʰ,oŋ,44,陽平甲,tʰ,ɔŋ,22,陰去,tʰ,ɔŋ,33,陰去,tʰ,ɔuŋ,31,陽平,tʰ/tsʰ,ɤŋ,5/21,入聲/陽平,tʰ,ã,41,陽平,tʰ,aŋ,12,陽平,tʰ/tsʰ,ɛŋ/oŋ,33/31,陽平/陽去,tʰ,eŋ,33,陽平,tʰ,aŋ,55,陽平,tʰ,aŋ,55,陽平,tʰ/tʃʰ,ɤŋ,21/22,陰入/陽平,,,,
68,tsʰ,iɔŋ,33,陰平,tsʰ,ɔŋ,44,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tsʰ,yøŋ,54,陰平,,,,,,,,,,,,,,,,,,,,,tsʰ,uŋ,42,陰平,,,,,,,,,,,,,tsʰ,əŋ,53,陰平,tʰ,eiŋ,53,陰平,tsʰ,œyŋ,52,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,ts,iŋ,33,陰平,ts,ɔŋ/iɔŋ,44,陰平,,,,,ts,iɔŋ,55,陰平,,,,,ts,oŋ,33,陰平,,,,,,,,,,,,,ts,eŋ,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,ts,yøŋ,54,陰平,,,,,ts,yŋ,55,陰平,,,,,,,,,,,,,ts,uŋ,42,陰平,ts,ouŋ,332,陰平,ts,yŋ,44,陰平,ts,əŋ,51,陰平,ts,ueiŋ,53,陰平,ts,eiŋ,53,陰平,,,,,,,,,ts,œyŋ,54,陰平,ts,œyŋ,33,陰平,ts,ɤŋ,33,陰平,tʃ,iam,553,陰平,,,,,,,,,,,,,,,,,,,,,tʃ,ɤŋ,55,陰平,,,,
75,ts,iɔŋ,33,陰平,ts,iɔŋ,44,陰平,ts,iɔŋ,55,陰平,ts,iɔŋ,55,陰平,,,,,,,,,ts,oŋ,33,陰平,ts,oŋ,33,陰平,ts,oŋ,33,陰平,ts,oŋ,33,陰平,ts,oŋ,33,陰平,ts,ioŋ,33,陰平,ts,oŋ,33,陰平,,,,,ts,oŋ,33,陰平甲,ts,oŋ,213,陰平,ts,yøŋ,54,陰平,ts,œŋ,533,陰平,ts,yŋ,55,陰平,,,,,ts,yŋ,44,陰平,ts,uŋ,53,陰平,ts,uŋ,42,陰平,ts,ouŋ,332,陰平,ts,yŋ,44,陰平,ts,əŋ,51,陰平,ts,ueiŋ,53,陰平,ts,eiŋ,53,陰平,ts,œyŋ,52,陰平,ts,œyŋ,54,平,ts,œyŋ,54,陰平,ts,œyŋ,33,陰平,ts,ɤŋ,33,陰平,t,am,553,陰平,t,ioŋ,33,陰平,ts,oŋ,55,陰平,ts,oŋ,55,陰平,ts,oŋ,33,陰平,ts,uŋ,33,陰平,tʃ,ɤŋ,55,陰平,,,,
76,,,,,,,,,ts,ɪŋ/iɔŋ,11,陰去,,,,,,,,,,,,,,,,,ts,eŋ,33/213,陰平/陰去,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ts,øyŋ,22,陰去,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ts,œyŋ,22,陰去,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
