# 閩語
id,南安(溪美鎮)_聲母,南安(溪美鎮)_韻母,南安(溪美鎮)_調值,南安(溪美鎮)_調類,漳州_聲母,漳州_韻母,漳州_調值,漳州_調類,廈門_聲母,廈門_韻母,廈門_調值,廈門_調類,漳浦_聲母,漳浦_韻母,漳浦_調值,漳浦_調類,大田_聲母,大田_韻母,大田_調值,大田_調類,大田(前路話)_聲母,大田(前路話)_韻母,大田(前路話)_調值,大田(前路話)_調類,潮州(府城話)_聲母,潮州(府城話)_韻母,潮州(府城話)_調值,潮州(府城話)_調類,潮州(漢語方音字匯)_聲母,潮州(漢語方音字匯)_韻母,潮州(漢語方音字匯)_調值,潮州(漢語方音字匯)_調類,揭陽(榕城話)_聲母,揭陽(榕城話)_韻母,揭陽(榕城話)_調值,揭陽(榕城話)_調類,澄海_聲母,澄海_韻母,澄海_調值,澄海_調類,汕頭(汕頭市區)_聲母,汕頭(汕頭市區)_韻母,汕頭(汕頭市區)_調值,汕頭(汕頭市區)_調類,海豐(海城鎮)_聲母,海豐(海城鎮)_韻母,海豐(海城鎮)_調值,海豐(海城鎮)_調類,陸豐(內湖鎮)_聲母,陸豐(內湖鎮)_韻母,陸豐(內湖鎮)_調值,陸豐(內湖鎮)_調類,大埔元洲仔(香港新界福佬話)_聲母,大埔元洲仔(香港新界福佬話)_韻母,大埔元洲仔(香港新界福佬話)_調值,大埔元洲仔(香港新界福佬話)_調類,電白(霞洞鎮黎話)_聲母,電白(霞洞鎮黎話)_韻母,電白(霞洞鎮黎話)_調值,電白(霞洞鎮黎話)_調類,海康(雷城話)_聲母,海康(雷城話)_韻母,海康(雷城話)_調值,海康(雷城話)_調類,仙游(城關話)_聲母,仙游(城關話)_韻母,仙游(城關話)_調值,仙游(城關話)_調類,莆田_聲母,莆田_韻母,莆田_調值,莆田_調類,古田_聲母,古田_韻母,古田_調值,古田_調類,馬祖_聲母,馬祖_韻母,馬祖_調值,馬祖_調類,福州_聲母,福州_韻母,福州_調值,福州_調類,福清_聲母,福清_韻母,福清_調值,福清_調類,柘榮_聲母,柘榮_韻母,柘榮_調值,柘榮_調類,福安_聲母,福安_韻母,福安_調值,福安_調類,寧德_聲母,寧德_韻母,寧德_調值,寧德_調類,崇安(崇城鎮城關話)_聲母,崇安(崇城鎮城關話)_韻母,崇安(崇城鎮城關話)_調值,崇安(崇城鎮城關話)_調類,石陂_聲母,石陂_韻母,石陂_調值,石陂_調類,建陽(潭城鎮城關話)_聲母,建陽(潭城鎮城關話)_韻母,建陽(潭城鎮城關話)_調值,建陽(潭城鎮城關話)_調類,松溪_聲母,松溪_韻母,松溪_調值,松溪_調類,建甌_聲母,建甌_韻母,建甌_調值,建甌_調類,建甌(市志)_聲母,建甌(市志)_韻母,建甌(市志)_調值,建甌(市志)_調類,沙縣(城關話)_聲母,沙縣(城關話)_韻母,沙縣(城關話)_調值,沙縣(城關話)_調類,明溪(城關話)_聲母,明溪(城關話)_韻母,明溪(城關話)_調值,明溪(城關話)_調類,三明(三元話)_聲母,三明(三元話)_韻母,三明(三元話)_調值,三明(三元話)_調類,平南(上渡雅埠)(廣西漢語方言)_聲母,平南(上渡雅埠)(廣西漢語方言)_韻母,平南(上渡雅埠)(廣西漢語方言)_調值,平南(上渡雅埠)(廣西漢語方言)_調類,中山(隆都)(珠江三角洲)_聲母,中山(隆都)(珠江三角洲)_韻母,中山(隆都)(珠江三角洲)_調值,中山(隆都)(珠江三角洲)_調類,中山(隆都)(廣東閩方言)_聲母,中山(隆都)(廣東閩方言)_韻母,中山(隆都)(廣東閩方言)_調值,中山(隆都)(廣東閩方言)_調類,中山(三鄉)_聲母,中山(三鄉)_韻母,中山(三鄉)_調值,中山(三鄉)_調類,曼谷(潮州話)_聲母,曼谷(潮州話)_韻母,曼谷(潮州話)_調值,曼谷(潮州話)_調類,將樂(城關話)_聲母,將樂(城關話)_韻母,將樂(城關話)_調值,將樂(城關話)_調類,晉江(青陽鎮)_聲母,晉江(青陽鎮)_韻母,晉江(青陽鎮)_調值,晉江(青陽鎮)_調類
1871,,,,,,,,,,,,,b,i,213,陽平,,,,,,,,,,,,,,,,,,,,,m,ui,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,p,i,24,陽平,,,,,,,,,,,,,,,,,m,i,55,陽平,m,i,21,陽平,m,ei,22,陽平,,,,,β,ei,33,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,h,ui,33,陰平,h,ui,44,陰平,h,ui,55,陰平,h,ui,55,陰平,,,,,h,ui,33,陰平,h,ui,33,陰平,h,ui,33,陰平,h,ui,33,陰平,h,ui,33,陰平,h,ui,33,陰平,h,ui,33,陰平,h,ui,33,陰平,h,ui,33,陰平,h,ui,33,陰平甲,h,ui,213,陰平,h,ui,54,陰平,h,ui,533,陰平,h,ui,55,陰平,,,,,x,uei,44,陰平,h,ui,53,陰平,x,ui,42,陰平,h,øi,332,陰平,x,ui,44,陰平,x,əu,51,陰平,x,y,53,陰平,,,,,h,y,52,陰平,x,y,54,平,x,y,54,陰平,ʃ,yi,33,陰平,f,i,33,陰平,ʃ,yi,553,陰平,0,ui,33,陰平,f,ɐi,55,陰平,f,ɐi,55,陰平,f,ɐi,55,陽平,h,ui,33,陰平,f,i,55,陰平,h,ui,33,陰平
1877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ui,33,陰平,0,uɐi,55,陰平,,,,,,,,,h,ui,33,陰平,,,,,,,,
1878,h,ui,33,陰平,h,ui,44,陰平,h,ui,55,陰平,h,ui,55,陰平,,,,,,,,,,,,,h,ui,33,陰平,,,,,h,ui,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,h,ui,54,陰平,h,ui,533,陰平,h,ui,55,陰平,,,,,x,uei,44,陰平,h,ui,53,陰平,x,ui,42,陰平,h,øi,332,陰平,x,ui,44,陰平,x,əu,51,陰平,x,y,53,陰平,,,,,h,y,52,陰平,x,y,54,平,x,y,54,陰平,ʃ,yi,33,陰平,,,,,ʃ,yi,553,陰平,0,ui,33,陰平,0,uɐi,55,陰平,,,,,,,,,h,ui,33,陰平,f,i,55,陰平,h,ui,33,陰平
1879,h,ui,33,陰平,h,ui,44,陰平,,,,,h,ui,55,陰平,,,,,,,,,,,,,,,,,,,,,h,ui,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,h,ui,54,陰平,h,ui,533,陰平,h,ui,55,陰平,,,,,,,,,h,ui,53,陰平,x,ui,42,陰平,h,øi,332,陰平,,,,,,,,,,,,,,,,,,,,,,,,,x,o,54,陰平,ʃ,yi,33,陰平,,,,,ʃ,yi,553,陰平,,,,,,,,,,,,,,,,,,,,,,,,,h,ui,33,陰平
1880,h,ui,33,陰平,h,ui,44,陰平,h,ui,55,陰平,h,ui,55,陰平,,,,,,,,,,,,,h,ui,33,陰平,,,,,h,ui,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,h,ui,54,陰平,h,ui,533,陰平,h,ui,55,陰平,,,,,x,uei,44,陰平,h,ui,53,陰平,x,ui,42,陰平,h,uoi,332,陰平,x,ui,44,陰平,,,,,x,y,53,陰平,,,,,h,y,52,陰平,x,o,54,平,x,o,54,陰平,ʃ,yi,33,陰平,,,,,,,,,0,ui,33,陰平,f,ɐi,55,陰平,,,,,,,,,h,ui,33,陰平,,,,,h,ui,33,陰平
1891,0,ui,55,陰上,0,ui,13,陽平,,,,,0,ui,53,上聲,,,,,,,,,,,,,,,,,,,,,0,ui,55,陽平,,,,,,,,,,,,,,,,,,,,,,,,,0,ui,32,上聲,0,ui,13,陽平,0,ui,33,陽平,,,,,,,,,0,ui,55,陽平,0,ui,21,陽平,w,øi,22,陽平,,,,,0,ui,21,上聲,,,,,,,,,,,,,,,,,0,y,21,上聲,0,ye,212,入聲,v,i,31,上聲,,,,,,,,,,,,,,,,,,,,,,,,,v,i,22,陽平,0,ui,55,上聲
1893,0,ui,24,陽平,0,ui,13,陽平,0,ui,24,陽平,0,ui,213,陽平,,,,,b,ui,24,陽平,0,ui,55,陽平,0,ui,55,陽平,0,ui,55,陽平,0,ui,55,陽平,0,ui,55,陽平,0,ui,55,陽平,0,ui,24,陽平,0,ui,44,陽平,0,ui,11,陽平,0,ui,11,陽平,0,ui,24,陽平,0,ui,13,陽平,0,ui,33,陽平,0,uːi,51,陽去,0,uei,52,陽平,0,ui/i,55,陽平,0,ui,21,陽平,w,øi,22,陽平,0,oi,22,陽平,,,,,ɦ,y,42,陽平,,,,,,,,,0,y,21,上,0,y,21,上聲,0,yi,31,陽平,v,i,21,陽平,0,yi,41,陽平,0,ui,12,陽平,0,uɐi/ui,31/33,陽去/陽平,0,ui,33,陽平,0,ui,55,陽平,0,ui,55,陽平,v,i,22,陽平,0,ui,24,陽平
1896,0,ui,24,陽平,0,ui,13,陽平,0,ui,24,陽平,0,ui,213,陽平,,,,,,,,,,,,,0,ui,55,陽平,,,,,0,ui,55,陽平,,,,,,,,,,,,,0,ui,44,陽平,,,,,,,,,0,ui,24,陽平,,,,,0,ui,33,陽平,,,,,0,uei,52,陽平,0,ui,55,陽平,,,,,w,øi,22,陽平,0,oi,22,陽平,,,,,ɦ,y,42,陽平,,,,,0,y,223,上聲,0/ŋ,y/ɛ,21/42,上/陽入,,,,,,,,,,,,,0,yi,41,陽平,0,ui,12,陽平,0,uɐi,31,陽去,,,,,,,,,0,ui,55,陽平,v,i,22,陽平,0,ui,24,陽平
1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ʃ,yi,553,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,h,ui,33,陰平,h,ui,44,陰平,h,ui,55,陰平,h,ui,55,陰平,,,,,,,,,,,,,h,ui,33,陰平,,,,,h,ui,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,h,i,54,陰平,h,i,533,陰平,,,,,,,,,x,i,44,陰平,h,i,53,陰平,x,i,42,陰平,h,ei,332,陰平,x,i,44,陰平,x,uɛ,51,陰平,x,y,53,陰平,,,,,h,i,52,陰平,x,i,54,平,x,i,54,陰平,,,,,f,i,33,陰平,,,,,h,ui,33,陰平,f,i,55,陰平,,,,,,,,,h,ui,33,陰平,f,i,55,陰平,h,ui,33,陰平
1907,h,ui,33,陰平,h,ui,44,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,ui,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,h,i,54,陰平,h,i,533,陰平,pʰ,i,55,陰平,,,,,,,,,pʰ,i,53,陰平,pʰ,i,42,陰平,pʰ,i/ei,332,陰平,,,,,,,,,,,,,,,,,,,,,,,,,x,i,54,陰平,ʃ,yi,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,i,55,陰平,h,ui,33,陰平
1914,h/p,ui/ə,33/33,陰平/陰平,h/p,ui/ue,44,陰平,h/p,ui/e,55,陰平,h/p,ui/uɛ,55,陰平,,,,,,,,,h/p,ui/ue,33,陰平,h/p,ui/ue,33,陰平,h/p,ui/ue,33,陰平,h/p,ui/ue,33,陰平,h/p,ue/ui,33,陰平,h/p,ue/ui,33,陰平,h/p,ue/ui,33,陰平,p,ue,33,陰平,h/p,oi/ui,33,陰平甲,b/p,i/ue,213,陰平,h/p,i/uoi,54,陰平,h/p,i/ue,533,陰平,h/p,i/uoi,55,陰平,h/p,i/ui,55/55,陰平/陰平,p/x,uei/i,44,陰平,h/p,i/uoi,53,陰平,p/x,uɛ/i,42,陰平,h/p,øi/ei/uoi,332,陰平,p/pʰ,øy/i,44,陰平,x,uɛ,51,陰平,ɦ/x,ye/y,42/53,陽平/陰平,,,,,h,œ/uei,41/52,陽入/陰平,0/x,yɛ/i,21/54,上/平,0/x,yɛ/i,21/54,上聲/陰平,p/ʃ,yi/ue,33,陰平,f/p,i/ø,33,陰平,p/ʃ,uɛ/yi,553,陰平,h/p,ui/uoi,33,陰平,f/p,uɵi/i,55,陰平,p,uoi,55,陰平,p,oi,33,陰平,p,ue,33,陰平,f/p,i/e,55,陰平,h/p,ui/e,33,陰平
1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,i,533,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,ue,533,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ʃ,yi,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,h,ui,33,陰平,h,ui,44,陰平,h,ui,55,陰平,h,ui,55,陰平,,,,,,,,,h,ui,33,陰平,h,ui,33,陰平,h,ui,33,陰平,h,ui,33,陰平,h,ui,33,陰平,h,ui,33,陰平,h,ui,33,陰平,h,ui,33,陰平,h,ui,33,陰平甲,b,i,213,陰平,h,i,54,陰平,h,i,533,陰平,h,i,55,陰平,h,ui,55,陰平,x,i,44,陰平,h,i,53,陰平,pʰ,i,42,陰平,h,ei,332,陰平,pʰ,i,44,陰平,x,uɛ,51,陰平,x,y,53,陰平,,,,,h,uei,52,陰平,x,i,54,平,x,i,54,陰平,ʃ,yi,33,陰平,f,i,33,陰平,ʃ,yi,553,陰平,h,ui,33,陰平,f,i,55,陰平,f,i,55,陰平,f,i,55,陽平,h,ui,33,陰平,f,i,55,陰平,h,ui,33,陰平
1925,p,ui,24,陽平,p,ui,13,陽平,h/p,ui,24,陽平,h/p,ui,213,陽平,,,,,p,ui,24,陽平,p,ui,55,陽平,p,ui,55,陽平,p,ui,55,陽平,p,ui,55,陽平,p,ui,55,陽平,p,ui,55,陽平,p,ui,24,陽平,p,ui,44,陽平,p,ui,11,陽平,p,ui,11,陽平,h/p,i/ui,24,陽平,h/p,i/ui,13,陽平,p/pʰ,ui/i,33,陽平,p,uːi,51,陽平,p/pʰ,uei/i,52,陽平,p/pʰ,ui/i,55,陽平,p/pʰ,ui/i,21,陽平,pʰ,ei,22,陽平,p/pʰ,oi/ei,22,陽平,p/x,əu/uɛ,33,陽平,p,y,33,陰去,,,,,h/p,uei/y,31/44,陽平乙/陽平甲,p,y,22,陰去,p,y,33,陰去,p,ui,31,陽平,pʰ,i,21,陽平,p,ui,41,陽平,h,ui,12,陽平,f/p,i/uɵi,31/33,陽去/陽平,p,ui,33,陽平,p,ui,55,陽平,p,ui,55,陽平,pʰ,i,22,陽平,p,ui,24,陽平
1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,ui,213,陰去,p,ui,22,陽去,,,,,pʰ,ui,44,陰去,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,ui,213,陰去,,,,,,,,,,,,
1937,0,ui,33,陰平,0,ui,44,陰平,0,ui,55,陰平,0,ui,55,陰平,,,,,,,,,,,,,0,ui,33,陰平,,,,,0,ui,33,陰平,,,,,,,,,,,,,0,ui,33,陰平,,,,,,,,,0,ui,54,陰平,0,ui,533,陰平,0,ui,55,陰平,,,,,0,uei,44,陰平,0,ui,53,陰平,0,ui,42,陰平,0,øi,332,陰平,0,ui,44,陰平,0,əu,51,陰平,ʔ,y,53,陰平,,,,,0,y,52,陰平,0,y,54,平,0,y,54,陰平,0,yi,33,陰平,v,i,33,陰平,0,yi,553,陰平,0,ui,33,陰平,0,uɐi,55,陰平,,,,,,,,,0,ui,33,陰平,v,i,55,陰平,0,ui,33,陰平
1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,yi,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,k,i,24,陽平,k,i,13,陽平,k,i,24,陽平,k,i,213,陽平,,,,,,,,,kʰ,i,55,陽平,kʰ,i,55,陽平,kʰ,i,55,陽平,kʰ,i,55,陽平,kʰ,i,55,陽平,kʰ,i,55,陽平,kʰ,i,24,陽平,kʰ,i,44,陽平,kʰ,i,11,陽平,kʰ,i,11,陽平,k,i,24,陽平,,,,,,,,,,,,,k,i,52,陽平,k,i,55,陽平,k,i,21,陽平,k,ei,22,陽平,k,ei,22,陽平,j,i,33,陽平,g,i,42,陽平,,,,,,,,,k,i,21,上,k,i,21,上聲,k,i,31,陽平,kʰ,i,21,陽平,k,i,41,陽平,k,ui,12,陽平,kʰ,i,31,陽去,kʰ,i,31,陽去,kʰ,i,11,陽去,kʰ,i,55,陽平,kʰ,i,22,陽平,k,i,24,陽平
1951,k,ia,24,陽平,k,ia/i,13,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,i,24,陽平,,,,,,,,,,,,,,,,,,,,,k,i,21,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,k,ui,33,陰平,k,ui/i,44,陰平,k,ui/i,55,陰平,k,ui/i,55,陰平,,,,,k,i,33,陰平,k,i/ui,33,陰平,k,i,33,陰平,k,i/ui,33,陰平,k,i,33,陰平,k,ui/i,33,陰平,k,i/ui,33,陰平,k,i,33,陰平,k,i,33,陰平,k,i,33,陰平甲,k,i,213,陰平,k,ui/i,54,陰平,k,ui/i,533,陰平,k,i,55,陰平,k,i,55,陰平,k,i,44,陰平,k,i,53,陰平,k,i,42,陰平,k,ei,332,陰平,k,i,44,陰平,k,i,51,陰平,k,i,53,陰平,,,,,k,i,52,陰平,k,i,54,平,k,i,54,陰平,k,i,33,陰平,k,i,33,陰平,k,i,553,陰平,k,i,33,陰平,k,i,55,陰平,k,i,55,陰平,k,i,55,陽平,k,i,33,陰平,k,i,55,陰平,k,ui,33,陰平
1966,,,,,k,i,44,陰平,k,i,55,陰平,,,,,,,,,,,,,,,,,k,i,33,陰平,,,,,k,i,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,k,i,54,陰平,,,,,k,i,55,陰平,,,,,k/kʰ,i,44,陰平,kʰ,i,53,陰平,k,i,42,陰平,k,ei,332,陰平,k,i,44,陰平,k,i,51,陰平,k,i,53,陰平,,,,,k,i,52,陰平,k/kʰ,i,54,平,,,,,k,i,33,陰平,,,,,k,i,553,陰平,k,i,33,陰平,k,i,55,陰平,,,,,,,,,k,i,33,陰平,k,i,55,陰平,,,,
1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,i,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,,,,,,,,,k,i,55,陰平,k,i,55,陰平,,,,,,,,,,,,,k,i,33,陰平,,,,,k,i,33,陰平,,,,,k,i,33,陰平,,,,,,,,,k,i,33,陰平甲,k,i,213,陰平,,,,,k,ui,533,陰平,k,uoi,55,陰平,,,,,k,i,44,陰平,k,ui,53,陰平,k,i,42,陰平,k,øi,332,陰平,k,ui,44,陰平,,,,,,,,,,,,,,,,,k,i,54,平,,,,,k,i,33,陰平,kʰ,ø,31,上聲,,,,,k,i,33,陰平,k,i,55,陰平,k,i,55,陰平,k,i,55,陽平,k,i,33,陰平,,,,,,,,
1974,,,,,,,,,k,i,55,陰平,,,,,,,,,,,,,,,,,k,i,33,陰平,,,,,k,i,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,i,533,陰平,k,i,55,陰平,,,,,k,i,44,陰平,k,i,53,陰平,k,i,42,陰平,k,ei,332,陰平,k,i,44,陰平,,,,,,,,,,,,,k,i,52,陰平,k,i,54,平,k,i,54,陰平,,,,,k,e,33,陰平,,,,,k,i,45,陰上,k,i,55,陰平,,,,,,,,,k,i,33,陰平,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,i,33,陰平,k,i,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,h,i,33,陰平,h,i,44,陰平,h,i,55,陰平,h,i,55,陰平,,,,,,,,,h,i,33,陰平,h,i,33,陰平,h,i,33,陰平,h,i,33,陰平,h,i,33,陰平,h,i,33,陰平,h,i,33,陰平,h,i,33,陰平,h,i,33,陰平甲,h,i,213,陰平,h,i,54,陰平,h,i,533,陰平,h,i,55,陰平,h,i,55,陰平,x,i,44,陰平,h,i,53,陰平,x,i,42,陰平,h,ei,332,陰平,x,i,44,陰平,x,i,51,陰平,x,i,53,陰平,,,,,h,i,52,陰平,x,i,54,平,x,i,54,陰平,s,i,33,陰平,x,i,33,陰平,ʃ,i,553,陰平,h,i,33,陰平,h,i,55,陰平,h,i,55,陰平,h,i,55,陽平,h,i,33,陰平,ʃ,i,55,陰平,h,i,33,陰平
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,i,533,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,h,i,33,陰平,h,i,44,陰平,h,i,55,陰平,h,i,55,陰平,,,,,,,,,,,,,h,i,33,陰平,,,,,h,i,33,陰平,,,,,,,,,,,,,,,,,,,,,,,,,h,i,54,陰平,,,,,h,i,55,陰平,,,,,x,i,44,陰平,h,i,53,陰平,x,i,42,陰平,h,ei,332,陰平,x,i,44,陰平,x,i,51,陰平,x,i,53,陰平,,,,,h,i,52,陰平,x,i,54,平,,,,,s,i,33,陰平,x,i,33,陰平,ʃ,i,553,陰平,h,i,33,陰平,h,i,55,陰平,,,,,,,,,h,i,33,陰平,ʃ,i,55,陰平,h,i,33,陰平
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,i,42,陰平,,,,,,,,,kʰ,əu,21,上聲,kʰ,y,21,上聲,,,,,kʰ,y,223,上聲,,,,,kʰ,y,21,上聲,kʰ,ye,21,陰上,,,,,kʰ,y,21,陰上,,,,,,,,,,,,,,,,,,,,,kʰ,ui,51,上聲,,,,
1993,0,i,33,陰平,0,i,44,陰平,0,i,55,陰平,0,i,55,陰平,,,,,,,,,0,i,33,陰平,0,i,33,陰平,,,,,0,i,33,陰平,,,,,,,,,,,,,0,i,33,陰平,,,,,,,,,0,i,54,陰平,0,i,533,陰平,0,i,55,陰平,,,,,0,i,44,陰平,0,i,53,陰平,0,i,42,陰平,0,ei,332,陰平,0,i,44,陰平,0,i,51,陰平,ʔ,i,53,陰平,,,,,0,i,52,陰平,0,i,54,平,0,i,54,陰平,0,i,33,陰平,0,i,33,陰平,0,i,553,陰平,ʔ,i,33,陰平,0,i,55,陰平,,,,,,,,,z,i,33,陰平,0,i,55,陰平,0,i,33,陰平
1995,0/0,i/ui,33/33,陰平/陰平,0,ui/i,44,陰平,0,ui/i,55,陰平,0,ui/i,55,陰平,,,,,0,ui/i,33,陰平,0,ui/i,33,陰平,0,ui/i,33,陰平,0,ui/i,33,陰平,0,ui/i,33,陰平,0,i/ui,33,陰平,0,i/ui,33,陰平,0,i/ui,33,陰平,0,ui,33,陰平,0,i,33,陰平甲,0,i,213,陰平,0,i,54,陰平,0,ui/i,533,陰平,0,i,55,陰平,0/0,i/y,55/55,陰平/陰平,0,i,44,陰平,0,ui/i,53,陰平,0,i,42,陰平,0,ei,332,陰平,0,i,44,陰平,0,i,51,陰平,ʔ,iŋ/i,53,陰平,,,,,0,eiŋ/i,44/52,陽平甲/陰平,0,i,54,平,0,i,54,陰平,0,i,33,陰平,0,i,33,陰平,0,i,553,陰平,ʔ,i,33,陰平,0,i,55,陰平,0,i,55,陰平,0,i,33,陰平,z,i,33,陰平,0,i,55,陰平,0,ui/i,33,陰平
2001,,,,,,,,,,,,,k,i,213,陽平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,i,24,陽平,,,,,,,,,,,,,,,,,,,,,0,i,21,陽平,,,,,,,,,j,i,33,陽平,,,,,,,,,,,,,,,,,k,i,21,上聲,,,,,kʰ,i,21,陽平,,,,,,,,,ŋ,i,31,陽去,,,,,,,,,,,,,,,,,,,,
2003,g,ui,24,陽平,g,ui,13,陽平,,,,,g,ui,213,陽平,,,,,,,,,,,,,,,,,,,,,g,ui,11,陽去,,,,,,,,,,,,,,,,,,,,,,,,,k,ui,24,陽平,k,ui,13,陽平,,,,,,,,,,,,,ŋ,ui,55,陽平,ŋ,ui,21,陽平,ŋ,øi,22,陽平,ŋ,oi,22,陽平,ŋ,ui,33,陽平,,,,,,,,,,,,,,,,,ŋ,uɛ/yɛ/y,21,上聲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ŋ,ui,231,陽去,g,ui,31,去聲
2005,k,ui,33,陰平,k,ui,44,陰平,k,ui,55,陰平,k,ui,55,陰平,,,,,,,,,k,ui,33,陰平,k,ui,33,陰平,k,ui,33,陰平,k,ui,33,陰平,k,ui,33,陰平,k,ui,33,陰平,k,ui,33,陰平,k,ui,33,陰平,k,ui,33,陰平甲,k,ui,213,陰平,k,ui,54,陰平,k,ui,533,陰平,k,ui,55,陰平,,,,,k,uei,44,陰平,k,ui,53,陰平,k,ui,42,陰平,k,øi,332,陰平,k,ui,44,陰平,k,əu,51,陰平,k,y,53,陰平,,,,,k,y,52,陰平,k,y,54,平,k,y,54,陰平,,,,,k,ue,33,陰平,k,ui,553,陰平,k,ui,33,陰平,k,uɐi/ui,55,陰平,k,uɐi/ui,55,陰平,k,uɐi,55,陽平,k,ui,33,陰平,k,ui,55,陰平,k,ui,33,陰平
2006,,,,,,,,,,,,,,,,,,,,,,,,,k,ui,33,陰平,,,,,k,ui,33,陰平,,,,,k,ui,33,陰平,k,ui,33,陰平,k,ui,33,陰平,k,ui,33,陰平,k,ui,33,陰平甲,k,ui,213,陰平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,ui,33,陰平,k,uɐi/ui,55,陰平,k,uɐi/ui,55,陰平,k,uɐi,55,陽平,k,ui,33,陰平,,,,,,,,
